scenarioKey,scenario,metric,seedCount,mean,min,max,range
citizen-assembly-threshold,Citizen assembly threshold gate,lowSupport,5,0.000000,0.000000,0.000000,0.000000
citizen-assembly-threshold,Citizen assembly threshold gate,welfare,5,0.721267,0.719556,0.722222,0.002667
citizen-assembly-threshold,Citizen assembly threshold gate,riskControl,5,0.911900,0.911000,0.913278,0.002278
public-interest-majority,Majority + public-interest screen,directionalScore,5,0.571511,0.570722,0.572056,0.001333
public-interest-majority,Majority + public-interest screen,productivity,5,0.248000,0.245111,0.249778,0.004667
public-interest-majority,Majority + public-interest screen,compromise,5,0.238044,0.235056,0.240556,0.005500
public-interest-majority,Majority + public-interest screen,lowSupport,5,0.000000,0.000000,0.000000,0.000000
public-interest-majority,Majority + public-interest screen,welfare,5,0.655044,0.653333,0.657389,0.004056
public-interest-majority,Majority + public-interest screen,riskControl,5,0.890767,0.888889,0.892500,0.003611
agenda-lottery-majority,Weighted agenda lottery + majority,directionalScore,5,0.543844,0.543444,0.544389,0.000944
agenda-lottery-majority,Weighted agenda lottery + majority,productivity,5,0.153811,0.152444,0.155556,0.003111
agenda-lottery-majority,Weighted agenda lottery + majority,compromise,5,0.242244,0.241000,0.243333,0.002333
agenda-lottery-majority,Weighted agenda lottery + majority,lowSupport,5,0.000000,0.000000,0.000000,0.000000
agenda-lottery-majority,Weighted agenda lottery + majority,welfare,5,0.662656,0.661278,0.664667,0.003389
agenda-lottery-majority,Weighted agenda lottery + majority,riskControl,5,0.898011,0.896500,0.899444,0.002944
quadratic-attention-majority,Quadratic attention budget + majority,directionalScore,5,0.565689,0.564889,0.566389,0.001500
quadratic-attention-majority,Quadratic attention budget + majority,productivity,5,0.213978,0.211500,0.216389,0.004889
quadratic-attention-majority,Quadratic attention budget + majority,compromise,5,0.253700,0.252722,0.255722,0.003000
quadratic-attention-majority,Quadratic attention budget + majority,lowSupport,5,0.000000,0.000000,0.000000,0.000000
quadratic-attention-majority,Quadratic attention budget + majority,welfare,5,0.660233,0.658667,0.662778,0.004111
quadratic-attention-majority,Quadratic attention budget + majority,riskControl,5,0.900678,0.899500,0.901722,0.002222
proposal-bond-majority,Proposal bonds + majority,directionalScore,5,0.571800,0.571444,0.572167,0.000722
