cohort,seed,runs,simulatedBills,committeeAdvanceRate,floorConsiderationRate,advanceToFloorRate,enactmentRate,specialRuleOnlyRouteShare,suspensionOnlyRouteShare,mixedSpecialRuleAndSuspensionRouteShare,otherFloorRouteShare,restrictiveSpecialRuleShare,closedRuleRate,openRuleRate,calendarCapacityDenialRate,routeTotalVariation
development_116_117,1161170001,12,720,0.091666666667,0.056944444444,0.621212121212,0.020833333333,0.073170731707,0.878048780488,0.024390243902,0.024390243902,1.000000000000,0.052777777778,0.038888888889,0.034722222222,0.046048780487
development_116_117,1161274730,12,720,0.109722222222,0.070833333333,0.645569620253,0.026388888889,0.098039215686,0.803921568627,0.078431372549,0.019607843137,1.000000000000,0.070833333333,0.038888888889,0.038888888889,0.053098039216
development_116_117,1161379459,12,720,0.125000000000,0.076388888889,0.611111111111,0.033333333333,0.018181818182,0.872727272727,0.054545454545,0.054545454545,1.000000000000,0.068055555556,0.056944444444,0.048611111111,0.085151515152
development_116_117,1161484188,12,720,0.115277777778,0.066666666667,0.578313253012,0.031944444444,0.062500000000,0.854166666667,0.041666666667,0.041666666667,1.000000000000,0.068055555556,0.047222222222,0.048611111111,0.040833333333
development_116_117,1161588917,12,720,0.101388888889,0.050000000000,0.493150684932,0.013888888889,0.138888888889,0.833333333333,0.027777777778,0.000000000000,1.000000000000,0.072222222222,0.029166666667,0.051388888889,0.039333333333
development_116_117,1161693646,12,720,0.108333333333,0.068055555556,0.628205128205,0.020833333333,0.102040816327,0.775510204082,0.081632653061,0.040816326531,1.000000000000,0.050000000000,0.058333333333,0.040277777778,0.057782312925
development_116_117,1161798375,12,720,0.091666666667,0.040277777778,0.439393939394,0.022222222222,0.034482758621,0.862068965517,0.034482758621,0.068965517241,1.000000000000,0.058333333333,0.033333333333,0.051388888889,0.068850574713
development_116_117,1161903104,12,720,0.113888888889,0.066666666667,0.585365853659,0.027777777778,0.083333333333,0.729166666667,0.145833333333,0.041666666667,1.000000000000,0.065277777778,0.048611111111,0.047222222222,0.122833333333
development_116_117,1162007833,12,720,0.105555555556,0.068055555556,0.644736842105,0.037500000000,0.061224489796,0.897959183673,0.040816326531,0.000000000000,1.000000000000,0.051388888889,0.054166666667,0.037500000000,0.081442176871
development_116_117,1162112562,12,720,0.112500000000,0.069444444444,0.617283950617,0.033333333333,0.080000000000,0.800000000000,0.060000000000,0.060000000000,1.000000000000,0.062500000000,0.050000000000,0.043055555556,0.055333333333
development_116_117,1162217291,12,720,0.095833333333,0.054166666667,0.565217391304,0.018055555556,0.102564102564,0.794871794872,0.051282051282,0.051282051282,1.000000000000,0.052777777778,0.043055555556,0.041666666667,0.037897435898
development_116_117,1162322020,12,720,0.098611111111,0.062500000000,0.633802816901,0.023611111111,0.088888888889,0.866666666667,0.000000000000,0.044444444444,1.000000000000,0.044444444444,0.054166666667,0.036111111111,0.039777777778
development_116_117,1162426749,12,720,0.104166666667,0.056944444444,0.546666666667,0.026388888889,0.073170731707,0.829268292683,0.073170731707,0.024390243902,1.000000000000,0.059722222222,0.044444444444,0.047222222222,0.047837398374
development_116_117,1162531478,12,720,0.131944444444,0.070833333333,0.536842105263,0.019444444444,0.137254901961,0.647058823529,0.117647058824,0.098039215686,1.000000000000,0.073611111111,0.058333333333,0.061111111111,0.184941176471
