adversaryId,attackFamily,caseKey,baselineScenario,attackedScenario,mechanismFamily,budgetUnit,budgetValue,informationLevel,runs,legislators,baseBillsPerRun,traceRows,attackSuccessRate,meanFalsePositiveBurdenAdded,medianFalsePositiveBurdenAdded,worstFalsePositiveBurdenAdded,falsePositiveBlockRate,falseNegativeClearanceRate,meanConcentratedHarmPassageAdded,worstConcentratedHarmPassageAdded,meanHighBenefitBlockageLoss,worstHighBenefitBlockageLoss,meanAdministrativeBurdenAdded,worstAdministrativeBurdenAdded,recoveryStatus,traceArtifact,claimBoundary
"A4","bad_faith_harm_claims","bad-faith-harm-claim-pressure","harm-weighted-benign-majority","harm-weighted-a4-bad-faith-claims","harm_weighted_majority","harm_claims_filed",1,"medium",5,101,60,300,0.603333,0.122667,0.000000,0.460000,0.150000,0.336667,0.162327,0.610000,0.105611,0.876070,0.084300,0.460000,"not_modeled","reports/adversarial-failure-traces-a4.jsonl","A4 executable pilot only. Rows use same generated worlds and bill ids for targeted synthetic harm-claim cases under benign and bad-faith claim signals with medium-information harm-claim budgets. This is not an empirical claim-filing, litigation, or legal-review frequency estimate, not a full A1-A9 adversarial sweep, and not evidence for real-world institutional ranking."
"A4","bad_faith_harm_claims","bad-faith-harm-claim-pressure","harm-weighted-benign-majority","harm-weighted-a4-bad-faith-claims","harm_weighted_majority","harm_claims_filed",3,"medium",5,101,60,300,0.853333,0.277500,0.000000,0.750000,0.220000,0.353333,0.158250,0.655391,0.155184,0.876070,0.376800,0.750000,"not_modeled","reports/adversarial-failure-traces-a4.jsonl","A4 executable pilot only. Rows use same generated worlds and bill ids for targeted synthetic harm-claim cases under benign and bad-faith claim signals with medium-information harm-claim budgets. This is not an empirical claim-filing, litigation, or legal-review frequency estimate, not a full A1-A9 adversarial sweep, and not evidence for real-world institutional ranking."
"A4","bad_faith_harm_claims","bad-faith-harm-claim-pressure","harm-weighted-benign-majority","harm-weighted-a4-bad-faith-claims","harm_weighted_majority","harm_claims_filed",6,"medium",5,101,60,300,1.000000,0.576700,0.000000,1.185000,0.313333,0.346667,0.142141,0.712620,0.223301,1.000000,0.818800,1.185000,"not_modeled","reports/adversarial-failure-traces-a4.jsonl","A4 executable pilot only. Rows use same generated worlds and bill ids for targeted synthetic harm-claim cases under benign and bad-faith claim signals with medium-information harm-claim budgets. This is not an empirical claim-filing, litigation, or legal-review frequency estimate, not a full A1-A9 adversarial sweep, and not evidence for real-world institutional ranking."
