cycle,recipient,recipient_type,candidate_id,candidate_name,candidate_office,candidate_office_state,candidate_office_district,member_context_status,transaction_rows,linked_transaction_rows,member_context_transaction_rows,voteview_congress,voteview_chamber,icpsr,bioguide_id,bioname,member_party,member_state,member_district,district_id,nominate_dim1,nokken_poole_dim1,rollcall_rows,unique_vote_ids,evidence_layers,missing_links,match_basis,source_urls,claim_boundary
2024,C00152272,committee,,,,,,recipient_without_candidate_metadata,6,6,0,,,,,,,,,,,,,,fec_recipient_metadata,candidate_to_voteview_member_context; bill_id_or_issue_topic; committee_of_jurisdiction; outside_spending_target; legislative_outcome_or_public_law; causal_influence_or_capture_validation,candidate_name_missing_or_unparseable,https://www.fec.gov/files/bulk-downloads/2024/ccl24.zip; https://www.fec.gov/files/bulk-downloads/2024/cm24.zip; https://www.fec.gov/files/bulk-downloads/2024/cn24.zip,"Bounded public FEC candidate/committee recipient to Voteview member-context inventory only; not bill-level influence, sponsor effectiveness, committee jurisdiction, issue targeting, private contributor disclosure, causal capture validation, public benefit, or model validation."
2024,C00193441,committee,,,,,,recipient_without_candidate_metadata,1,1,0,,,,,,,,,,,,,,fec_recipient_metadata,candidate_to_voteview_member_context; bill_id_or_issue_topic; committee_of_jurisdiction; outside_spending_target; legislative_outcome_or_public_law; causal_influence_or_capture_validation,candidate_name_missing_or_unparseable,https://www.fec.gov/files/bulk-downloads/2024/ccl24.zip; https://www.fec.gov/files/bulk-downloads/2024/cm24.zip; https://www.fec.gov/files/bulk-downloads/2024/cn24.zip,"Bounded public FEC candidate/committee recipient to Voteview member-context inventory only; not bill-level influence, sponsor effectiveness, committee jurisdiction, issue targeting, private contributor disclosure, causal capture validation, public benefit, or model validation."
2024,C00348540,committee,,,,,,recipient_without_candidate_metadata,38,38,0,,,,,,,,,,,,,,fec_recipient_metadata,candidate_to_voteview_member_context; bill_id_or_issue_topic; committee_of_jurisdiction; outside_spending_target; legislative_outcome_or_public_law; causal_influence_or_capture_validation,candidate_name_missing_or_unparseable,https://www.fec.gov/files/bulk-downloads/2024/ccl24.zip; https://www.fec.gov/files/bulk-downloads/2024/cm24.zip; https://www.fec.gov/files/bulk-downloads/2024/cn24.zip,"Bounded public FEC candidate/committee recipient to Voteview member-context inventory only; not bill-level influence, sponsor effectiveness, committee jurisdiction, issue targeting, private contributor disclosure, causal capture validation, public benefit, or model validation."
2024,C00401786,committee,,,,,,recipient_without_candidate_metadata,5,5,0,,,,,,,,,,,,,,fec_recipient_metadata,candidate_to_voteview_member_context; bill_id_or_issue_topic; committee_of_jurisdiction; outside_spending_target; legislative_outcome_or_public_law; causal_influence_or_capture_validation,candidate_name_missing_or_unparseable,https://www.fec.gov/files/bulk-downloads/2024/ccl24.zip; https://www.fec.gov/files/bulk-downloads/2024/cm24.zip; https://www.fec.gov/files/bulk-downloads/2024/cn24.zip,"Bounded public FEC candidate/committee recipient to Voteview member-context inventory only; not bill-level influence, sponsor effectiveness, committee jurisdiction, issue targeting, private contributor disclosure, causal capture validation, public benefit, or model validation."
2024,C00687848,committee,,,,,,recipient_without_candidate_metadata,24,24,0,,,,,,,,,,,,,,fec_recipient_metadata,candidate_to_voteview_member_context; bill_id_or_issue_topic; committee_of_jurisdiction; outside_spending_target; legislative_outcome_or_public_law; causal_influence_or_capture_validation,candidate_name_missing_or_unparseable,https://www.fec.gov/files/bulk-downloads/2024/ccl24.zip; https://www.fec.gov/files/bulk-downloads/2024/cm24.zip; https://www.fec.gov/files/bulk-downloads/2024/cn24.zip,"Bounded public FEC candidate/committee recipient to Voteview member-context inventory only; not bill-level influence, sponsor effectiveness, committee jurisdiction, issue targeting, private contributor disclosure, causal capture validation, public benefit, or model validation."
2024,C00699785,committee,,,,,,recipient_without_candidate_metadata,1,1,0,,,,,,,,,,,,,,fec_recipient_metadata,candidate_to_voteview_member_context; bill_id_or_issue_topic; committee_of_jurisdiction; outside_spending_target; legislative_outcome_or_public_law; causal_influence_or_capture_validation,candidate_name_missing_or_unparseable,https://www.fec.gov/files/bulk-downloads/2024/ccl24.zip; https://www.fec.gov/files/bulk-downloads/2024/cm24.zip; https://www.fec.gov/files/bulk-downloads/2024/cn24.zip,"Bounded public FEC candidate/committee recipient to Voteview member-context inventory only; not bill-level influence, sponsor effectiveness, committee jurisdiction, issue targeting, private contributor disclosure, causal capture validation, public benefit, or model validation."
2024,C00837492,committee,,,,,,recipient_without_candidate_metadata,1,1,0,,,,,,,,,,,,,,fec_recipient_metadata,candidate_to_voteview_member_context; bill_id_or_issue_topic; committee_of_jurisdiction; outside_spending_target; legislative_outcome_or_public_law; causal_influence_or_capture_validation,candidate_name_missing_or_unparseable,https://www.fec.gov/files/bulk-downloads/2024/ccl24.zip; https://www.fec.gov/files/bulk-downloads/2024/cm24.zip; https://www.fec.gov/files/bulk-downloads/2024/cn24.zip,"Bounded public FEC candidate/committee recipient to Voteview member-context inventory only; not bill-level influence, sponsor effectiveness, committee jurisdiction, issue targeting, private contributor disclosure, causal capture validation, public benefit, or model validation."
2024,C00848648,committee,S4FL00611,"MUCARSEL-POWELL, DEBBIE",Senate,FL,00,candidate_without_voteview_member_match,24,24,0,,,,,,,,,,,,,,fec_recipient_metadata; fec_candidate_metadata,candidate_to_voteview_member_context; bill_id_or_issue_topic; committee_of_jurisdiction; outside_spending_target; legislative_outcome_or_public_law; causal_influence_or_capture_validation,no_name_state_district_member_match,https://www.fec.gov/files/bulk-downloads/2024/ccl24.zip; https://www.fec.gov/files/bulk-downloads/2024/cm24.zip; https://www.fec.gov/files/bulk-downloads/2024/cn24.zip,"Bounded public FEC candidate/committee recipient to Voteview member-context inventory only; not bill-level influence, sponsor effectiveness, committee jurisdiction, issue targeting, private contributor disclosure, causal capture validation, public benefit, or model validation."
2024,C90023250,committee,,,,,,recipient_without_candidate_metadata,1,1,0,,,,,,,,,,,,,,fec_recipient_metadata,candidate_to_voteview_member_context; bill_id_or_issue_topic; committee_of_jurisdiction; outside_spending_target; legislative_outcome_or_public_law; causal_influence_or_capture_validation,candidate_name_missing_or_unparseable,https://www.fec.gov/files/bulk-downloads/2024/ccl24.zip; https://www.fec.gov/files/bulk-downloads/2024/cm24.zip; https://www.fec.gov/files/bulk-downloads/2024/cn24.zip,"Bounded public FEC candidate/committee recipient to Voteview member-context inventory only; not bill-level influence, sponsor effectiveness, committee jurisdiction, issue targeting, private contributor disclosure, causal capture validation, public benefit, or model validation."
2024,H0IL15129,candidate,H0IL15129,"MILLER, MARY",House,IL,15,candidate_voteview_member_context,1,1,1,118,House,22138,M001211,"MILLER, Mary E.",R,IL,15,IL-15,0.787,0.718,159,159,fec_recipient_metadata; fec_candidate_metadata; voteview_member_context,bill_id_or_issue_topic; committee_of_jurisdiction; outside_spending_target; legislative_outcome_or_public_law; causal_influence_or_capture_validation,candidate_name_state_district_voteview_member_match,https://voteview.com/static/data/out/members/HS118_members.csv; https://www.fec.gov/files/bulk-downloads/2024/ccl24.zip; https://www.fec.gov/files/bulk-downloads/2024/cm24.zip; https://www.fec.gov/files/bulk-downloads/2024/cn24.zip,"Bounded public FEC candidate/committee recipient to Voteview member-context inventory only; not bill-level influence, sponsor effectiveness, committee jurisdiction, issue targeting, private contributor disclosure, causal capture validation, public benefit, or model validation."
