cycle,recipient,recipient_type,linkage_status,candidate_id,candidate_name,candidate_office,candidate_office_state,candidate_office_district,district_id,district_context_status,transaction_rows,linked_transaction_rows,raw_transaction_rows,source_schedules,total_amount,outside_spending_rows,outside_spending_amount,district_public_opinion_context_rows,district_public_opinion_issues,district_public_opinion_support_mean,district_public_opinion_turnout_mean,affected_group_share_mean,sponsor_public_law_context_rows,sponsor_public_law_bill_ids,sponsor_public_law_policy_areas,evidence_layers,missing_links,source_urls,claim_boundary
2024,C00152272,committee,committee_metadata,,,,,,,committee_metadata_without_house_district_context,6,6,6,A,1258.32,0,0.00,0,,,,,0,,,fec_recipient_metadata; campaign_finance_transaction_aggregate,candidate_to_sitting_member_or_sponsor; bill_id_or_issue_topic; committee_of_jurisdiction; legislative_outcome_or_public_law; causal_influence_or_capture_validation; house_district_public_opinion_context,https://www.fec.gov/files/bulk-downloads/2024/cm24.zip; https://www.fec.gov/files/bulk-downloads/2024/cn24.zip; https://www.fec.gov/files/bulk-downloads/2024/ccl24.zip,"Bounded FEC recipient/candidate district-context inventory only; not candidate-to-sponsor identity resolution, bill-level influence, causal capture validation, private contributor disclosure, public-benefit evidence, or model validation."
2024,C00193441,committee,committee_metadata,,,,,,,committee_metadata_without_house_district_context,1,1,1,E,60.39,1,60.39,0,,,,,0,,,fec_recipient_metadata; campaign_finance_transaction_aggregate,candidate_to_sitting_member_or_sponsor; bill_id_or_issue_topic; committee_of_jurisdiction; legislative_outcome_or_public_law; causal_influence_or_capture_validation; house_district_public_opinion_context,https://www.fec.gov/files/bulk-downloads/2024/cm24.zip; https://www.fec.gov/files/bulk-downloads/2024/cn24.zip; https://www.fec.gov/files/bulk-downloads/2024/ccl24.zip,"Bounded FEC recipient/candidate district-context inventory only; not candidate-to-sponsor identity resolution, bill-level influence, causal capture validation, private contributor disclosure, public-benefit evidence, or model validation."
2024,C00348540,committee,committee_metadata,,,,,,,committee_metadata_without_house_district_context,38,38,38,A,1903.97,0,0.00,0,,,,,0,,,fec_recipient_metadata; campaign_finance_transaction_aggregate,candidate_to_sitting_member_or_sponsor; bill_id_or_issue_topic; committee_of_jurisdiction; legislative_outcome_or_public_law; causal_influence_or_capture_validation; house_district_public_opinion_context,https://www.fec.gov/files/bulk-downloads/2024/cm24.zip; https://www.fec.gov/files/bulk-downloads/2024/cn24.zip; https://www.fec.gov/files/bulk-downloads/2024/ccl24.zip,"Bounded FEC recipient/candidate district-context inventory only; not candidate-to-sponsor identity resolution, bill-level influence, causal capture validation, private contributor disclosure, public-benefit evidence, or model validation."
2024,C00401786,committee,committee_metadata,,,,,,,committee_metadata_without_house_district_context,5,5,5,A,485.00,0,0.00,0,,,,,0,,,fec_recipient_metadata; campaign_finance_transaction_aggregate,candidate_to_sitting_member_or_sponsor; bill_id_or_issue_topic; committee_of_jurisdiction; legislative_outcome_or_public_law; causal_influence_or_capture_validation; house_district_public_opinion_context,https://www.fec.gov/files/bulk-downloads/2024/cm24.zip; https://www.fec.gov/files/bulk-downloads/2024/cn24.zip; https://www.fec.gov/files/bulk-downloads/2024/ccl24.zip,"Bounded FEC recipient/candidate district-context inventory only; not candidate-to-sponsor identity resolution, bill-level influence, causal capture validation, private contributor disclosure, public-benefit evidence, or model validation."
2024,C00687848,committee,committee_metadata,,,,,,,committee_metadata_without_house_district_context,24,24,24,A,2957.43,0,0.00,0,,,,,0,,,fec_recipient_metadata; campaign_finance_transaction_aggregate,candidate_to_sitting_member_or_sponsor; bill_id_or_issue_topic; committee_of_jurisdiction; legislative_outcome_or_public_law; causal_influence_or_capture_validation; house_district_public_opinion_context,https://www.fec.gov/files/bulk-downloads/2024/cm24.zip; https://www.fec.gov/files/bulk-downloads/2024/cn24.zip; https://www.fec.gov/files/bulk-downloads/2024/ccl24.zip,"Bounded FEC recipient/candidate district-context inventory only; not candidate-to-sponsor identity resolution, bill-level influence, causal capture validation, private contributor disclosure, public-benefit evidence, or model validation."
2024,C00699785,committee,committee_metadata,,,,,,,committee_metadata_without_house_district_context,1,1,1,A,428.40,0,0.00,0,,,,,0,,,fec_recipient_metadata; campaign_finance_transaction_aggregate,candidate_to_sitting_member_or_sponsor; bill_id_or_issue_topic; committee_of_jurisdiction; legislative_outcome_or_public_law; causal_influence_or_capture_validation; house_district_public_opinion_context,https://www.fec.gov/files/bulk-downloads/2024/cm24.zip; https://www.fec.gov/files/bulk-downloads/2024/cn24.zip; https://www.fec.gov/files/bulk-downloads/2024/ccl24.zip,"Bounded FEC recipient/candidate district-context inventory only; not candidate-to-sponsor identity resolution, bill-level influence, causal capture validation, private contributor disclosure, public-benefit evidence, or model validation."
2024,C00837492,committee,committee_metadata,,,,,,,committee_metadata_without_house_district_context,1,1,1,A,10000.00,0,0.00,0,,,,,0,,,fec_recipient_metadata; campaign_finance_transaction_aggregate,candidate_to_sitting_member_or_sponsor; bill_id_or_issue_topic; committee_of_jurisdiction; legislative_outcome_or_public_law; causal_influence_or_capture_validation; house_district_public_opinion_context,https://www.fec.gov/files/bulk-downloads/2024/cm24.zip; https://www.fec.gov/files/bulk-downloads/2024/cn24.zip; https://www.fec.gov/files/bulk-downloads/2024/ccl24.zip,"Bounded FEC recipient/candidate district-context inventory only; not candidate-to-sponsor identity resolution, bill-level influence, causal capture validation, private contributor disclosure, public-benefit evidence, or model validation."
2024,C00848648,committee,committee_candidate_metadata,S4FL00611,"MUCARSEL-POWELL, DEBBIE",Senate,FL,00,,candidate_metadata_without_house_district_context,24,24,24,A,358.00,0,0.00,0,,,,,0,,,fec_recipient_metadata; candidate_office_metadata; campaign_finance_transaction_aggregate,candidate_to_sitting_member_or_sponsor; bill_id_or_issue_topic; committee_of_jurisdiction; legislative_outcome_or_public_law; causal_influence_or_capture_validation; house_district_public_opinion_context,https://www.fec.gov/files/bulk-downloads/2024/cm24.zip; https://www.fec.gov/files/bulk-downloads/2024/cn24.zip; https://www.fec.gov/files/bulk-downloads/2024/ccl24.zip,"Bounded FEC recipient/candidate district-context inventory only; not candidate-to-sponsor identity resolution, bill-level influence, causal capture validation, private contributor disclosure, public-benefit evidence, or model validation."
2024,C90023250,committee,committee_metadata,,,,,,,committee_metadata_without_house_district_context,1,1,1,E,269.00,1,269.00,0,,,,,0,,,fec_recipient_metadata; campaign_finance_transaction_aggregate,candidate_to_sitting_member_or_sponsor; bill_id_or_issue_topic; committee_of_jurisdiction; legislative_outcome_or_public_law; causal_influence_or_capture_validation; house_district_public_opinion_context,https://www.fec.gov/files/bulk-downloads/2024/cm24.zip; https://www.fec.gov/files/bulk-downloads/2024/cn24.zip; https://www.fec.gov/files/bulk-downloads/2024/ccl24.zip,"Bounded FEC recipient/candidate district-context inventory only; not candidate-to-sponsor identity resolution, bill-level influence, causal capture validation, private contributor disclosure, public-benefit evidence, or model validation."
2024,H0IL15129,candidate,candidate_committee_metadata,H0IL15129,"MILLER, MARY",House,IL,15,IL-15,house_candidate_district_public_opinion_context,1,1,1,E,60.39,1,60.39,3,house_democratic_preference; house_representative_approval; presidential_democratic_preference,0.294255,0.889972,0.048926,0,,,fec_recipient_metadata; candidate_office_metadata; campaign_finance_transaction_aggregate; house_candidate_district_public_opinion_context,candidate_to_sitting_member_or_sponsor; bill_id_or_issue_topic; committee_of_jurisdiction; legislative_outcome_or_public_law; causal_influence_or_capture_validation,https://www.fec.gov/files/bulk-downloads/2024/cm24.zip; https://www.fec.gov/files/bulk-downloads/2024/cn24.zip; https://www.fec.gov/files/bulk-downloads/2024/ccl24.zip,"Bounded FEC recipient/candidate district-context inventory only; not candidate-to-sponsor identity resolution, bill-level influence, causal capture validation, private contributor disclosure, public-benefit evidence, or model validation."
