caseKey,caseName,caseDescription,scenarioKey,scenario,totalBills,potentialBillsPerRun,enactedBills,enactedPerRun,floorPerRun,productivity,floor,avgSupport,welfare,cooperation,compromise,gridlock,accessDenied,committeeRejected,challengeRate,lowSupport,popularFail,policyShift,proposerGain,lobbyCapture,publicAlignment,antiLobbyingSuccess,privateGainRatio,lobbySpendPerBill,defensiveLobbyingShare,captureReturnOnSpend,publicPreferenceDistortion,amendmentRate,amendmentMovement,minorityHarm,concentratedHarmPassage,compensationRate,legitimacy,activeLawWelfare,reversalRate,timeToCorrectBadLaw,statusQuoVolatility,lowSupportActiveLawShare,selectedAlternativeMedianDistance,proposerAgendaAdvantage,alternativeDiversity,statusQuoWinRate,publicBenefitPerLobbyDollar,directLobbySpendShare,agendaLobbySpendShare,informationLobbySpendShare,publicCampaignSpendShare,litigationThreatSpendShare,citizenReviewRate,citizenCertificationRate,citizenLegitimacy,attentionSpendPerBill,objectionWindowRate,repealWindowReversalRate,vetoes,overriddenVetoes
baseline,Baseline,Moderately polarized three-party legislature.,simple-majority,Unicameral simple majority,9000,60.000,2457,16.380,60.000,0.273,1.000,0.597,0.638,0.163,0.236,0.727,0.000,0.000,0.000,0.000,0.441,0.106,0.309,0.215,0.823,0.705,0.406,0.000,0.000,0.000,0.177,0.000,0.000,0.087,0.135,0.000,0.560,0.000,0.000,0.000,0.106,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,simple-majority-alternatives-pairwise,Unicameral majority + pairwise alternatives,9000,60.000,4994,33.293,33.833,0.555,0.564,0.670,0.640,0.372,0.492,0.445,0.436,0.000,0.000,0.000,0.009,0.006,0.005,0.197,0.839,0.946,0.376,0.000,0.000,0.000,0.161,0.564,0.338,0.045,0.025,0.000,0.653,0.000,0.000,0.000,0.006,0.000,0.001,0.004,6.000,0.436,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,supermajority-60,Unicameral 60 percent passage,9000,60.000,818,5.453,60.000,0.091,1.000,0.665,0.725,0.060,0.364,0.909,0.000,0.000,0.000,0.000,0.756,0.019,0.144,0.187,0.829,0.324,0.324,0.000,0.000,0.000,0.171,0.000,0.000,0.048,0.026,0.000,0.666,0.000,0.000,0.000,0.019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass,Default pass unless 2/3 block,9000,60.000,7621,50.807,60.000,0.847,1.000,0.532,0.497,0.451,0.109,0.153,0.000,0.000,0.000,0.457,0.024,0.668,0.656,0.255,0.802,0.994,0.582,0.000,0.000,0.000,0.198,0.000,0.000,0.164,0.773,0.000,0.397,0.000,0.000,0.000,0.668,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-mediation,Default pass + mediated amendments,9000,60.000,8096,53.973,60.000,0.900,1.000,0.519,0.494,0.467,0.136,0.100,0.000,0.000,0.000,0.453,0.012,0.504,0.512,0.257,0.815,0.999,0.607,0.000,0.000,0.000,0.185,0.827,0.160,0.130,0.940,0.144,0.409,0.000,0.000,0.000,0.504,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-harm-threshold,Default pass + harm-weighted threshold,9000,60.000,6987,46.580,60.000,0.776,1.000,0.534,0.507,0.414,0.116,0.224,0.000,0.000,0.000,0.451,0.080,0.588,0.629,0.243,0.806,0.993,0.541,0.000,0.000,0.000,0.194,0.000,0.000,0.141,0.287,0.000,0.411,0.000,0.000,0.000,0.588,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-compensation,Default pass + compensation amendments,9000,60.000,7645,50.967,60.000,0.849,1.000,0.532,0.491,0.452,0.108,0.151,0.000,0.000,0.000,0.450,0.022,0.669,0.655,0.255,0.803,0.993,0.601,0.000,0.000,0.000,0.197,0.000,0.000,0.121,0.941,0.135,0.415,0.000,0.000,0.000,0.669,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-affected-consent,Default pass + affected-group consent,9000,60.000,6975,46.500,54.140,0.775,0.902,0.536,0.509,0.415,0.115,0.225,0.098,0.000,0.000,0.440,0.030,0.590,0.632,0.242,0.806,0.992,0.533,0.000,0.000,0.000,0.194,0.000,0.000,0.121,0.938,0.144,0.430,0.000,0.000,0.000,0.590,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-alternatives-benefit,Default pass + public-benefit alternatives,9000,60.000,8527,56.847,57.187,0.947,0.953,0.608,0.551,0.576,0.445,0.053,0.047,0.000,0.000,0.165,0.000,0.009,0.006,0.233,0.858,0.999,0.499,0.000,0.000,0.000,0.142,0.946,0.591,0.077,0.238,0.000,0.519,0.000,0.000,0.000,0.009,0.000,0.003,0.006,6.000,0.047,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-alternatives-support,Default pass + public-support alternatives,9000,60.000,7697,51.313,57.080,0.855,0.951,0.579,0.489,0.495,0.192,0.145,0.049,0.000,0.000,0.339,0.046,0.460,0.165,0.240,0.798,0.958,0.608,0.000,0.000,0.000,0.202,0.918,0.884,0.080,0.376,0.000,0.535,0.000,0.000,0.000,0.460,0.000,0.409,0.141,6.000,0.049,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
