calendarPriorityThreshold,specialRuleThreshold,suspensionThreshold,seedCount,runsPerSeed,simulatedBills,committeeAdvanceRate,floorConsiderationRate,advanceToFloorRate,enactmentRate,specialRuleOnlyRouteShare,suspensionOnlyRouteShare,mixedSpecialRuleAndSuspensionRouteShare,otherFloorRouteShare,restrictiveSpecialRuleShare,closedRuleRate,openRuleRate,calendarCapacityDenialRate,floorConsiderationRateError,specialRuleOnlyRouteShareError,suspensionOnlyRouteShareError,mixedSpecialRuleAndSuspensionRouteShareError,otherFloorRouteShareError,floorConsiderationRateStandardizedError,specialRuleOnlyRouteShareStandardizedError,suspensionOnlyRouteShareStandardizedError,mixedSpecialRuleAndSuspensionRouteShareStandardizedError,otherFloorRouteShareStandardizedError,selectionLoss,maximumAbsoluteStandardizedError,selected
0.620000000000,0.350000000000,0.350000000000,20,12,14400,0.108680555556,0.090000000000,0.828115015974,0.034027777778,0.000000000000,0.102623456790,0.897376543210,0.000000000000,1.000000000000,0.060347222222,0.048333333333,0.018680555556,0.010089499760,-0.103333333333,-0.729376543210,0.872043209877,-0.039333333333,0.672633317333,-2.583333333325,-14.587530864198,43.602160493844,-1.311111111100,2122.789515481139,43.602160493844,0
0.620000000000,0.350000000000,0.375000000000,20,12,14400,0.105486111111,0.087916666667,0.833443054641,0.034097222222,0.000000000000,0.112954186414,0.887045813586,0.000000000000,1.000000000000,0.058819444444,0.046666666667,0.017569444444,0.008006166427,-0.103333333333,-0.719045813586,0.861712480253,-0.039333333333,0.533744428444,-2.583333333325,-14.380916271722,43.085624012655,-1.311111111100,2071.859255945758,43.085624012655,0
0.620000000000,0.350000000000,0.400000000000,20,12,14400,0.107847222222,0.089930555556,0.833869929169,0.033750000000,0.000000000000,0.114285714286,0.885714285714,0.000000000000,1.000000000000,0.060000000000,0.047847222222,0.017916666667,0.010020055316,-0.103333333333,-0.717714285714,0.860380952381,-0.039333333333,0.668003687704,-2.583333333325,-14.354285714286,43.019047619064,-1.311111111100,2065.522828802176,43.019047619064,0
0.620000000000,0.350000000000,0.425000000000,20,12,14400,0.107222222222,0.089236111111,0.832253886010,0.032638888889,0.000000000000,0.108949416342,0.891050583658,0.000000000000,1.000000000000,0.059722222222,0.047500000000,0.017986111111,0.009325610871,-0.103333333333,-0.723050583658,0.865717250325,-0.039333333333,0.621707391407,-2.583333333325,-14.461011673152,43.285862516229,-1.311111111100,2091.565895922196,43.285862516229,0
0.620000000000,0.350000000000,0.450000000000,20,12,14400,0.105902777778,0.089027777778,0.840655737705,0.035208333333,0.000000000000,0.107644305772,0.892355694228,0.000000000000,1.000000000000,0.057708333333,0.048194444444,0.016875000000,0.009117277538,-0.103333333333,-0.724355694228,0.867022360895,-0.039333333333,0.607818502519,-2.583333333325,-14.487113884555,43.351118044738,-1.311111111100,2097.957971221645,43.351118044738,0
0.620000000000,0.350000000000,0.475000000000,20,12,14400,0.106527777778,0.089444444444,0.839634941330,0.035902777778,0.000000000000,0.111801242236,0.888198757764,0.000000000000,1.000000000000,0.059236111111,0.047291666667,0.017083333333,0.009533944204,-0.103333333333,-0.720198757764,0.862865424431,-0.039333333333,0.635596280296,-2.583333333325,-14.403975155280,43.143271221549,-1.311111111100,2077.612958058273,43.143271221549,0
0.620000000000,0.350000000000,0.500000000000,20,12,14400,0.105208333333,0.088125000000,0.837623762376,0.033541666667,0.000000000000,0.115051221434,0.884948778566,0.000000000000,1.000000000000,0.059027777778,0.046180555556,0.017083333333,0.008214499760,-0.103333333333,-0.716948778566,0.859615445233,-0.039333333333,0.547633317333,-2.583333333325,-14.338975571316,42.980772261640,-1.311111111100,2061.645530348725,42.980772261640,0
0.620000000000,0.350000000000,0.525000000000,20,12,14400,0.106041666667,0.088333333333,0.833005893910,0.032847222222,0.000000000000,0.106918238994,0.893081761006,0.000000000000,1.000000000000,0.058680555556,0.047361111111,0.017708333333,0.008422833093,-0.103333333333,-0.725081761006,0.867748427673,-0.039333333333,0.561522206222,-2.583333333325,-14.501635220126,43.387421383664,-1.311111111100,2101.473689026053,43.387421383664,0
0.620000000000,0.350000000000,0.550000000000,20,12,14400,0.107222222222,0.088819444444,0.828367875648,0.033333333333,0.000000000000,0.104769351056,0.895230648944,0.000000000000,1.000000000000,0.059236111111,0.047986111111,0.018402777778,0.008908944204,-0.103333333333,-0.727230648944,0.869897315611,-0.039333333333,0.593929613630,-2.583333333325,-14.544612978890,43.494865780574,-1.311111111100,2112.094491818531,43.494865780574,0
0.620000000000,0.350000000000,0.575000000000,20,12,14400,0.106666666667,0.088888888889,0.833333333333,0.034444444444,0.000000000000,0.113281250000,0.886718750000,0.000000000000,1.000000000000,0.059236111111,0.047430555556,0.017777777778,0.008978388649,-0.103333333333,-0.718718750000,0.861385416667,-0.039333333333,0.598559243259,-2.583333333325,-14.374375000000,43.069270833350,-1.311111111100,2070.335643381496,43.069270833350,0
