groupType,groupValue,billCount,actionCount,recordedVoteCount,meanActions,medianActions,publicLawCount,privateLawCount,sourceDateAnomalyCount,referredCount,referredRate,hearingCount,hearingRate,markupCount,markupRate,orderedReportedCount,orderedReportedRate,reportedCount,reportedRate,dischargedCount,dischargedRate,committeeAdvancedCount,committeeAdvancedRate,floorConsideredCount,floorConsideredRate,originPassageCount,originPassageRate,completedCongressionalPassageCount,completedCongressionalPassageRate,presentedCount,presentedRate,vetoedCount,vetoedRate,enactedCount,enactedRate
all,all H.R. and S. bills,16213,75239,511,4.640659,3.000000,269,0,20,16155,0.996423,664,0.040955,1683,0.103806,1677,0.103436,1426,0.087954,510,0.031456,1843,0.113674,957,0.059027,935,0.057670,270,0.016653,270,0.016653,1,0.000062,269,0.016592
bill_type,hr,10564,58442,460,5.532185,4.000000,178,0,12,10555,0.999148,384,0.036350,1158,0.109618,1160,0.109807,879,0.083207,422,0.039947,1202,0.113783,676,0.063991,660,0.062476,178,0.016850,178,0.016850,0,0.000000,178,0.016850
bill_type,s,5649,16797,51,2.973447,2.000000,91,0,8,5600,0.991326,280,0.049566,525,0.092937,517,0.091521,547,0.096831,88,0.015578,641,0.113471,281,0.049743,275,0.048681,92,0.016286,92,0.016286,1,0.000177,91,0.016109
