caseKey,caseName,caseDescription,scenarioKey,scenario,totalBills,potentialBillsPerRun,enactedBills,enactedPerRun,floorPerRun,productivity,floor,avgSupport,welfare,cooperation,compromise,gridlock,accessDenied,committeeRejected,challengeRate,lowSupport,popularFail,policyShift,proposerGain,lobbyCapture,publicAlignment,antiLobbyingSuccess,privateGainRatio,lobbySpendPerBill,defensiveLobbyingShare,captureReturnOnSpend,publicPreferenceDistortion,amendmentRate,amendmentMovement,minorityHarm,concentratedHarmPassage,compensationRate,legitimacy,activeLawWelfare,reversalRate,timeToCorrectBadLaw,statusQuoVolatility,lowSupportActiveLawShare,selectedAlternativeMedianDistance,proposerAgendaAdvantage,alternativeDiversity,statusQuoWinRate,publicBenefitPerLobbyDollar,directLobbySpendShare,agendaLobbySpendShare,informationLobbySpendShare,publicCampaignSpendShare,litigationThreatSpendShare,citizenReviewRate,citizenCertificationRate,citizenLegitimacy,attentionSpendPerBill,objectionWindowRate,repealWindowReversalRate,vetoes,overriddenVetoes
high-lobbying,High Lobbying Pressure,Lobby pressure is strong.,default-pass-alternatives-median,Default pass + median-seeking alternatives,9000,60.000,8359,55.727,57.020,0.929,0.950,0.586,0.557,0.544,0.440,0.071,0.050,0.000,0.000,0.239,0.000,0.005,0.003,0.289,0.838,1.000,0.648,0.000,0.000,0.000,0.162,0.950,0.586,0.082,0.220,0.000,0.510,0.000,0.000,0.000,0.005,0.000,0.000,0.003,6.000,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
high-lobbying,High Lobbying Pressure,Lobby pressure is strong.,default-pass-alternatives-pairwise,Default pass + pairwise policy tournament,9000,60.000,4882,32.547,32.553,0.542,0.543,0.629,0.647,0.341,0.472,0.458,0.457,0.000,0.000,0.095,0.002,0.006,0.005,0.244,0.802,0.922,0.475,0.000,0.000,0.000,0.198,0.543,0.315,0.049,0.027,0.000,0.637,0.000,0.000,0.000,0.006,0.000,0.001,0.003,6.000,0.457,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
high-lobbying,High Lobbying Pressure,Lobby pressure is strong.,default-pass-law-registry,Default pass + law registry,9000,60.000,7789,51.927,60.000,0.865,1.000,0.544,0.493,0.470,0.134,0.135,0.000,0.000,0.000,0.407,0.025,0.836,0.602,0.319,0.791,0.985,0.799,0.000,0.000,0.000,0.209,0.000,0.000,0.182,0.821,0.000,0.384,0.575,0.517,5.090,0.836,0.053,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
high-lobbying,High Lobbying Pressure,Lobby pressure is strong.,default-pass-informed-guarded,Default pass + informed guarded committee,9000,60.000,1824,12.160,12.213,0.203,0.204,0.579,0.641,0.117,0.230,0.797,0.537,0.259,0.000,0.241,0.553,0.069,0.250,0.317,0.850,0.415,0.625,0.000,0.000,0.000,0.150,0.000,0.000,0.104,0.125,0.000,0.540,0.000,0.000,0.000,0.069,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
high-lobbying,High Lobbying Pressure,Lobby pressure is strong.,default-pass-challenge,Default pass + challenge vouchers,9000,60.000,5186,34.573,60.000,0.576,1.000,0.517,0.520,0.298,0.136,0.424,0.000,0.000,0.500,0.398,0.261,0.365,0.511,0.307,0.810,0.769,0.737,0.000,0.000,0.000,0.190,0.000,0.000,0.166,0.498,0.000,0.402,0.000,0.000,0.000,0.365,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
high-lobbying,High Lobbying Pressure,Lobby pressure is strong.,default-pass-cross-bloc,Default pass + cross-bloc cosponsors,9000,60.000,2031,13.540,13.800,0.226,0.230,0.552,0.707,0.125,0.260,0.774,0.770,0.000,0.000,0.323,0.498,0.067,0.232,0.168,0.808,0.779,0.277,0.000,0.000,0.000,0.192,0.000,0.000,0.069,0.056,0.000,0.564,0.000,0.000,0.000,0.067,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
high-lobbying,High Lobbying Pressure,Lobby pressure is strong.,default-pass-adaptive-track,Default pass + adaptive tracks,9000,60.000,3798,25.320,53.907,0.422,0.898,0.549,0.616,0.232,0.176,0.578,0.100,0.002,0.000,0.290,0.202,0.204,0.387,0.245,0.807,0.850,0.484,0.000,0.000,0.000,0.193,0.000,0.000,0.107,0.228,0.000,0.514,0.000,0.000,0.000,0.204,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
high-lobbying,High Lobbying Pressure,Lobby pressure is strong.,bicameral-majority,Bicameral simple majority,9000,60.000,1371,9.140,60.000,0.152,1.000,0.617,0.640,0.094,0.273,0.848,0.000,0.000,0.000,0.000,0.657,0.047,0.233,0.353,0.820,0.264,0.702,0.000,0.000,0.000,0.180,0.000,0.000,0.100,0.093,0.000,0.570,0.000,0.000,0.000,0.047,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
high-lobbying,High Lobbying Pressure,Lobby pressure is strong.,presidential-veto,Bicameral majority + presidential veto,9000,60.000,854,5.693,60.000,0.095,1.000,0.631,0.662,0.060,0.295,0.905,0.000,0.000,0.000,0.000,0.770,0.027,0.215,0.372,0.817,0.165,0.710,0.000,0.000,0.000,0.183,0.000,0.000,0.094,0.057,0.000,0.595,0.000,0.000,0.000,0.027,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,434,3
weak-constituency,Weak Constituency Pressure,Members are less responsive to public support.,simple-majority,Unicameral simple majority,9000,60.000,2112,14.080,60.000,0.235,1.000,0.572,0.618,0.134,0.239,0.765,0.000,0.000,0.000,0.000,0.554,0.084,0.282,0.233,0.809,0.556,0.442,0.000,0.000,0.000,0.191,0.000,0.000,0.091,0.091,0.000,0.523,0.000,0.000,0.000,0.084,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
