caseKey,caseName,caseDescription,scenarioKey,scenario,totalBills,potentialBillsPerRun,enactedBills,enactedPerRun,floorPerRun,productivity,floor,avgSupport,welfare,cooperation,compromise,gridlock,accessDenied,committeeRejected,lowSupport,popularFail,policyShift,proposerGain,vetoes,overriddenVetoes
low-polarization,Low Polarization,Legislators are less ideologically clustered.,presidential-veto,Bicameral majority + presidential veto,9000,60.000,2468,16.453,60.000,0.274,1.000,0.674,0.666,0.185,0.321,0.726,0.000,0.000,0.000,0.455,0.072,0.181,1002,19
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,simple-majority,Unicameral simple majority,9000,60.000,1257,8.380,60.000,0.140,1.000,0.583,0.596,0.081,0.213,0.860,0.000,0.000,0.000,0.668,0.055,0.306,0,0
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,supermajority-60,Unicameral 60 percent passage,9000,60.000,298,1.987,60.000,0.033,1.000,0.658,0.694,0.022,0.371,0.967,0.000,0.000,0.000,0.885,0.006,0.112,0,0
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,default-pass,Default pass unless 2/3 block,9000,60.000,7549,50.327,60.000,0.839,1.000,0.518,0.436,0.434,0.066,0.161,0.000,0.000,0.496,0.027,0.784,0.822,0,0
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,default-pass-cost,Default pass + proposal costs,9000,60.000,4677,31.180,32.533,0.520,0.542,0.502,0.421,0.261,0.021,0.480,0.458,0.000,0.528,0.432,0.733,1.314,0,0
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,default-pass-access,Default pass + proposal access screen,9000,60.000,2471,16.473,19.253,0.275,0.321,0.543,0.532,0.149,0.131,0.725,0.679,0.000,0.418,0.467,0.090,0.229,0,0
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,default-pass-committee,Default pass + representative committee gate,9000,60.000,1952,13.013,13.173,0.217,0.220,0.546,0.537,0.118,0.145,0.783,0.000,0.780,0.363,0.581,0.126,0.487,0,0
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,default-pass-guarded,Default pass + access + committee,9000,60.000,1165,7.767,7.813,0.129,0.130,0.569,0.592,0.074,0.200,0.871,0.638,0.232,0.273,0.684,0.043,0.247,0,0
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,default-pass-informed-guarded,Default pass + informed guarded committee,9000,60.000,1153,7.687,7.727,0.128,0.129,0.563,0.613,0.072,0.200,0.872,0.646,0.225,0.279,0.668,0.042,0.249,0,0
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,default-pass-cost-guarded,Default pass + costs + informed guardrails,9000,60.000,339,2.260,2.260,0.038,0.038,0.535,0.605,0.020,0.077,0.962,0.861,0.102,0.389,0.903,0.022,0.565,0,0
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,bicameral-majority,Bicameral simple majority,9000,60.000,743,4.953,60.000,0.083,1.000,0.608,0.636,0.050,0.261,0.917,0.000,0.000,0.000,0.764,0.025,0.224,0,0
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,presidential-veto,Bicameral majority + presidential veto,9000,60.000,437,2.913,60.000,0.049,1.000,0.623,0.655,0.030,0.298,0.951,0.000,0.000,0.000,0.857,0.012,0.186,301,1
low-party-loyalty,Low Party Loyalty,Party pressure is weak and legislators act more independently.,simple-majority,Unicameral simple majority,9000,60.000,2391,15.940,60.000,0.266,1.000,0.595,0.584,0.158,0.199,0.734,0.000,0.000,0.000,0.429,0.121,0.373,0,0
low-party-loyalty,Low Party Loyalty,Party pressure is weak and legislators act more independently.,supermajority-60,Unicameral 60 percent passage,9000,60.000,780,5.200,60.000,0.087,1.000,0.667,0.666,0.058,0.308,0.913,0.000,0.000,0.000,0.740,0.022,0.194,0,0
low-party-loyalty,Low Party Loyalty,Party pressure is weak and legislators act more independently.,default-pass,Default pass unless 2/3 block,9000,60.000,7521,50.140,60.000,0.836,1.000,0.530,0.464,0.443,0.092,0.164,0.000,0.000,0.464,0.022,0.691,0.693,0,0
low-party-loyalty,Low Party Loyalty,Party pressure is weak and legislators act more independently.,default-pass-cost,Default pass + proposal costs,9000,60.000,4408,29.387,31.433,0.490,0.524,0.511,0.447,0.250,0.030,0.510,0.476,0.000,0.500,0.445,0.610,1.121,0,0
low-party-loyalty,Low Party Loyalty,Party pressure is weak and legislators act more independently.,default-pass-access,Default pass + proposal access screen,9000,60.000,3032,20.213,22.493,0.337,0.375,0.572,0.548,0.193,0.162,0.663,0.625,0.000,0.336,0.377,0.117,0.242,0,0
low-party-loyalty,Low Party Loyalty,Party pressure is weak and legislators act more independently.,default-pass-committee,Default pass + representative committee gate,9000,60.000,2786,18.573,18.793,0.310,0.313,0.567,0.552,0.175,0.166,0.690,0.000,0.687,0.287,0.420,0.165,0.434,0,0
low-party-loyalty,Low Party Loyalty,Party pressure is weak and legislators act more independently.,default-pass-guarded,Default pass + access + committee,9000,60.000,1854,12.360,12.427,0.206,0.207,0.593,0.592,0.122,0.214,0.794,0.580,0.213,0.206,0.551,0.069,0.249,0,0
low-party-loyalty,Low Party Loyalty,Party pressure is weak and legislators act more independently.,default-pass-informed-guarded,Default pass + informed guarded committee,9000,60.000,1795,11.967,12.073,0.199,0.201,0.589,0.606,0.118,0.215,0.801,0.579,0.220,0.207,0.542,0.067,0.261,0,0
low-party-loyalty,Low Party Loyalty,Party pressure is weak and legislators act more independently.,default-pass-cost-guarded,Default pass + costs + informed guardrails,9000,60.000,510,3.400,3.427,0.057,0.057,0.564,0.613,0.032,0.091,0.943,0.863,0.080,0.288,0.869,0.034,0.580,0,0
low-party-loyalty,Low Party Loyalty,Party pressure is weak and legislators act more independently.,bicameral-majority,Bicameral simple majority,9000,60.000,1526,10.173,60.000,0.170,1.000,0.624,0.615,0.106,0.244,0.830,0.000,0.000,0.000,0.581,0.060,0.276,0,0
low-party-loyalty,Low Party Loyalty,Party pressure is weak and legislators act more independently.,presidential-veto,Bicameral majority + presidential veto,9000,60.000,992,6.613,60.000,0.110,1.000,0.641,0.635,0.071,0.276,0.890,0.000,0.000,0.000,0.708,0.034,0.234,459,6
high-party-loyalty,High Party Loyalty,Party pressure is strong.,simple-majority,Unicameral simple majority,9000,60.000,2049,13.660,60.000,0.228,1.000,0.595,0.592,0.136,0.215,0.772,0.000,0.000,0.000,0.506,0.093,0.322,0,0
high-party-loyalty,High Party Loyalty,Party pressure is strong.,supermajority-60,Unicameral 60 percent passage,9000,60.000,653,4.353,60.000,0.073,1.000,0.667,0.675,0.048,0.348,0.927,0.000,0.000,0.000,0.784,0.015,0.152,0,0
high-party-loyalty,High Party Loyalty,Party pressure is strong.,default-pass,Default pass unless 2/3 block,9000,60.000,7496,49.973,60.000,0.833,1.000,0.530,0.467,0.442,0.091,0.167,0.000,0.000,0.457,0.028,0.693,0.701,0,0
high-party-loyalty,High Party Loyalty,Party pressure is strong.,default-pass-cost,Default pass + proposal costs,9000,60.000,4383,29.220,30.720,0.487,0.512,0.510,0.449,0.248,0.029,0.513,0.488,0.000,0.499,0.468,0.613,1.136,0,0
high-party-loyalty,High Party Loyalty,Party pressure is strong.,default-pass-access,Default pass + proposal access screen,9000,60.000,2992,19.947,22.740,0.332,0.379,0.568,0.554,0.189,0.169,0.668,0.621,0.000,0.346,0.377,0.113,0.235,0,0
high-party-loyalty,High Party Loyalty,Party pressure is strong.,default-pass-committee,Default pass + representative committee gate,9000,60.000,2580,17.200,17.420,0.287,0.290,0.567,0.557,0.163,0.177,0.713,0.000,0.710,0.295,0.465,0.142,0.399,0,0
high-party-loyalty,High Party Loyalty,Party pressure is strong.,default-pass-guarded,Default pass + access + committee,9000,60.000,1780,11.867,11.967,0.198,0.199,0.589,0.597,0.117,0.218,0.802,0.579,0.222,0.195,0.560,0.065,0.246,0,0
high-party-loyalty,High Party Loyalty,Party pressure is strong.,default-pass-informed-guarded,Default pass + informed guarded committee,9000,60.000,1659,11.060,11.147,0.184,0.186,0.586,0.609,0.108,0.226,0.816,0.577,0.238,0.212,0.584,0.059,0.234,0,0
high-party-loyalty,High Party Loyalty,Party pressure is strong.,default-pass-cost-guarded,Default pass + costs + informed guardrails,9000,60.000,441,2.940,2.973,0.049,0.050,0.553,0.610,0.027,0.088,0.951,0.865,0.086,0.311,0.888,0.029,0.574,0,0
high-party-loyalty,High Party Loyalty,Party pressure is strong.,bicameral-majority,Bicameral simple majority,9000,60.000,1306,8.707,60.000,0.145,1.000,0.621,0.623,0.090,0.266,0.855,0.000,0.000,0.000,0.641,0.045,0.229,0,0
high-party-loyalty,High Party Loyalty,Party pressure is strong.,presidential-veto,Bicameral majority + presidential veto,9000,60.000,880,5.867,60.000,0.098,1.000,0.636,0.640,0.062,0.291,0.902,0.000,0.000,0.000,0.741,0.027,0.202,425,1
low-compromise,Low Compromise Culture,"Members are less inclined toward moderate, incremental bills.",simple-majority,Unicameral simple majority,9000,60.000,1771,11.807,60.000,0.197,1.000,0.579,0.613,0.114,0.213,0.803,0.000,0.000,0.000,0.549,0.078,0.323,0,0
low-compromise,Low Compromise Culture,"Members are less inclined toward moderate, incremental bills.",supermajority-60,Unicameral 60 percent passage,9000,60.000,451,3.007,60.000,0.050,1.000,0.650,0.697,0.033,0.342,0.950,0.000,0.000,0.000,0.845,0.010,0.150,0,0
low-compromise,Low Compromise Culture,"Members are less inclined toward moderate, incremental bills.",default-pass,Default pass unless 2/3 block,9000,60.000,7444,49.627,60.000,0.827,1.000,0.519,0.471,0.429,0.086,0.173,0.000,0.000,0.489,0.035,0.688,0.701,0,0
low-compromise,Low Compromise Culture,"Members are less inclined toward moderate, incremental bills.",default-pass-cost,Default pass + proposal costs,9000,60.000,4494,29.960,31.727,0.499,0.529,0.505,0.455,0.252,0.031,0.501,0.471,0.000,0.511,0.440,0.616,1.114,0,0
low-compromise,Low Compromise Culture,"Members are less inclined toward moderate, incremental bills.",default-pass-access,Default pass + proposal access screen,9000,60.000,2986,19.907,23.360,0.332,0.389,0.547,0.562,0.181,0.160,0.668,0.611,0.000,0.398,0.386,0.116,0.246,0,0
low-compromise,Low Compromise Culture,"Members are less inclined toward moderate, incremental bills.",default-pass-committee,Default pass + representative committee gate,9000,60.000,2283,15.220,15.393,0.254,0.257,0.547,0.571,0.139,0.165,0.746,0.000,0.743,0.351,0.511,0.134,0.435,0,0
low-compromise,Low Compromise Culture,"Members are less inclined toward moderate, incremental bills.",default-pass-guarded,Default pass + access + committee,9000,60.000,1611,10.740,10.827,0.179,0.180,0.567,0.613,0.101,0.210,0.821,0.567,0.253,0.276,0.600,0.062,0.261,0,0
low-compromise,Low Compromise Culture,"Members are less inclined toward moderate, incremental bills.",default-pass-informed-guarded,Default pass + informed guarded committee,9000,60.000,1523,10.153,10.260,0.169,0.171,0.564,0.620,0.095,0.209,0.831,0.563,0.266,0.280,0.603,0.057,0.257,0,0
low-compromise,Low Compromise Culture,"Members are less inclined toward moderate, incremental bills.",default-pass-cost-guarded,Default pass + costs + informed guardrails,9000,60.000,453,3.020,3.027,0.050,0.050,0.541,0.618,0.027,0.091,0.950,0.850,0.099,0.349,0.878,0.030,0.573,0,0
low-compromise,Low Compromise Culture,"Members are less inclined toward moderate, incremental bills.",bicameral-majority,Bicameral simple majority,9000,60.000,1012,6.747,60.000,0.112,1.000,0.607,0.649,0.068,0.264,0.888,0.000,0.000,0.000,0.696,0.035,0.237,0,0
low-compromise,Low Compromise Culture,"Members are less inclined toward moderate, incremental bills.",presidential-veto,Bicameral majority + presidential veto,9000,60.000,682,4.547,60.000,0.076,1.000,0.615,0.668,0.047,0.282,0.924,0.000,0.000,0.000,0.791,0.022,0.219,317,2
high-compromise,High Compromise Culture,"Members are more inclined toward moderate, incremental bills.",simple-majority,Unicameral simple majority,9000,60.000,2587,17.247,60.000,0.287,1.000,0.611,0.584,0.176,0.203,0.713,0.000,0.000,0.000,0.429,0.125,0.346,0,0
high-compromise,High Compromise Culture,"Members are more inclined toward moderate, incremental bills.",supermajority-60,Unicameral 60 percent passage,9000,60.000,927,6.180,60.000,0.103,1.000,0.683,0.666,0.070,0.323,0.897,0.000,0.000,0.000,0.716,0.025,0.187,0,0
high-compromise,High Compromise Culture,"Members are more inclined toward moderate, incremental bills.",default-pass,Default pass unless 2/3 block,9000,60.000,7725,51.500,60.000,0.858,1.000,0.541,0.471,0.464,0.095,0.142,0.000,0.000,0.435,0.021,0.705,0.683,0,0
high-compromise,High Compromise Culture,"Members are more inclined toward moderate, incremental bills.",default-pass-cost,Default pass + proposal costs,9000,60.000,4380,29.200,30.540,0.487,0.509,0.514,0.456,0.250,0.029,0.513,0.491,0.000,0.483,0.470,0.617,1.141,0,0
high-compromise,High Compromise Culture,"Members are more inclined toward moderate, incremental bills.",default-pass-access,Default pass + proposal access screen,9000,60.000,3071,20.473,22.600,0.341,0.377,0.592,0.558,0.202,0.170,0.659,0.623,0.000,0.302,0.393,0.115,0.230,0,0
high-compromise,High Compromise Culture,"Members are more inclined toward moderate, incremental bills.",default-pass-committee,Default pass + representative committee gate,9000,60.000,3072,20.480,20.627,0.341,0.344,0.583,0.554,0.199,0.171,0.659,0.000,0.656,0.257,0.402,0.180,0.428,0,0
high-compromise,High Compromise Culture,"Members are more inclined toward moderate, incremental bills.",default-pass-guarded,Default pass + access + committee,9000,60.000,2007,13.380,13.433,0.223,0.224,0.617,0.594,0.138,0.220,0.777,0.585,0.191,0.170,0.525,0.075,0.250,0,0
high-compromise,High Compromise Culture,"Members are more inclined toward moderate, incremental bills.",default-pass-informed-guarded,Default pass + informed guarded committee,9000,60.000,1933,12.887,12.967,0.215,0.216,0.607,0.615,0.130,0.225,0.785,0.581,0.203,0.171,0.534,0.071,0.248,0,0
high-compromise,High Compromise Culture,"Members are more inclined toward moderate, incremental bills.",default-pass-cost-guarded,Default pass + costs + informed guardrails,9000,60.000,481,3.207,3.220,0.053,0.054,0.565,0.616,0.030,0.090,0.947,0.880,0.067,0.262,0.882,0.033,0.590,0,0
high-compromise,High Compromise Culture,"Members are more inclined toward moderate, incremental bills.",bicameral-majority,Bicameral simple majority,9000,60.000,1820,12.133,60.000,0.202,1.000,0.638,0.611,0.129,0.245,0.798,0.000,0.000,0.000,0.546,0.070,0.267,0,0
high-compromise,High Compromise Culture,"Members are more inclined toward moderate, incremental bills.",presidential-veto,Bicameral majority + presidential veto,9000,60.000,1071,7.140,60.000,0.119,1.000,0.657,0.637,0.078,0.284,0.881,0.000,0.000,0.000,0.706,0.038,0.244,584,6
low-lobbying,Low Lobbying Pressure,Lobby pressure is weak.,simple-majority,Unicameral simple majority,9000,60.000,2305,15.367,60.000,0.256,1.000,0.596,0.606,0.153,0.209,0.744,0.000,0.000,0.000,0.473,0.106,0.336,0,0
low-lobbying,Low Lobbying Pressure,Lobby pressure is weak.,supermajority-60,Unicameral 60 percent passage,9000,60.000,682,4.547,60.000,0.076,1.000,0.664,0.691,0.050,0.349,0.924,0.000,0.000,0.000,0.790,0.016,0.148,0,0
low-lobbying,Low Lobbying Pressure,Lobby pressure is weak.,default-pass,Default pass unless 2/3 block,9000,60.000,7577,50.513,60.000,0.842,1.000,0.532,0.480,0.448,0.090,0.158,0.000,0.000,0.453,0.025,0.696,0.695,0,0
low-lobbying,Low Lobbying Pressure,Lobby pressure is weak.,default-pass-cost,Default pass + proposal costs,9000,60.000,4247,28.313,29.740,0.472,0.496,0.509,0.460,0.240,0.028,0.528,0.504,0.000,0.493,0.489,0.604,1.158,0,0
low-lobbying,Low Lobbying Pressure,Lobby pressure is weak.,default-pass-access,Default pass + proposal access screen,9000,60.000,3090,20.600,23.413,0.343,0.390,0.569,0.565,0.195,0.167,0.657,0.610,0.000,0.337,0.396,0.120,0.243,0,0
low-lobbying,Low Lobbying Pressure,Lobby pressure is weak.,default-pass-committee,Default pass + representative committee gate,9000,60.000,2604,17.360,17.500,0.289,0.292,0.570,0.574,0.165,0.176,0.711,0.000,0.708,0.282,0.474,0.144,0.405,0,0
low-lobbying,Low Lobbying Pressure,Lobby pressure is weak.,default-pass-guarded,Default pass + access + committee,9000,60.000,1844,12.293,12.387,0.205,0.206,0.593,0.615,0.122,0.224,0.795,0.562,0.231,0.187,0.561,0.068,0.246,0,0
low-lobbying,Low Lobbying Pressure,Lobby pressure is weak.,default-pass-informed-guarded,Default pass + informed guarded committee,9000,60.000,1738,11.587,11.713,0.193,0.195,0.584,0.626,0.113,0.220,0.807,0.563,0.242,0.220,0.572,0.065,0.251,0,0
low-lobbying,Low Lobbying Pressure,Lobby pressure is weak.,default-pass-cost-guarded,Default pass + costs + informed guardrails,9000,60.000,385,2.567,2.587,0.043,0.043,0.545,0.628,0.023,0.085,0.957,0.881,0.076,0.299,0.910,0.027,0.625,0,0
low-lobbying,Low Lobbying Pressure,Lobby pressure is weak.,bicameral-majority,Bicameral simple majority,9000,60.000,1457,9.713,60.000,0.162,1.000,0.621,0.640,0.101,0.254,0.838,0.000,0.000,0.000,0.628,0.052,0.246,0,0
low-lobbying,Low Lobbying Pressure,Lobby pressure is weak.,presidential-veto,Bicameral majority + presidential veto,9000,60.000,906,6.040,60.000,0.101,1.000,0.635,0.656,0.064,0.282,0.899,0.000,0.000,0.000,0.743,0.030,0.222,461,4
high-lobbying,High Lobbying Pressure,Lobby pressure is strong.,simple-majority,Unicameral simple majority,9000,60.000,2117,14.113,60.000,0.235,1.000,0.597,0.567,0.140,0.204,0.765,0.000,0.000,0.000,0.501,0.101,0.350,0,0
high-lobbying,High Lobbying Pressure,Lobby pressure is strong.,supermajority-60,Unicameral 60 percent passage,9000,60.000,684,4.560,60.000,0.076,1.000,0.673,0.632,0.051,0.320,0.924,0.000,0.000,0.000,0.790,0.017,0.169,0,0
high-lobbying,High Lobbying Pressure,Lobby pressure is strong.,default-pass,Default pass unless 2/3 block,9000,60.000,7508,50.053,60.000,0.834,1.000,0.530,0.458,0.442,0.091,0.166,0.000,0.000,0.459,0.036,0.698,0.701,0,0
high-lobbying,High Lobbying Pressure,Lobby pressure is strong.,default-pass-cost,Default pass + proposal costs,9000,60.000,4638,30.920,32.447,0.515,0.541,0.513,0.441,0.264,0.032,0.485,0.459,0.000,0.498,0.434,0.634,1.103,0,0
high-lobbying,High Lobbying Pressure,Lobby pressure is strong.,default-pass-access,Default pass + proposal access screen,9000,60.000,2971,19.807,23.040,0.330,0.384,0.567,0.553,0.187,0.167,0.670,0.616,0.000,0.351,0.382,0.116,0.250,0,0
high-lobbying,High Lobbying Pressure,Lobby pressure is strong.,default-pass-committee,Default pass + representative committee gate,9000,60.000,2524,16.827,17.080,0.280,0.285,0.568,0.540,0.159,0.169,0.720,0.000,0.715,0.295,0.492,0.145,0.427,0,0
high-lobbying,High Lobbying Pressure,Lobby pressure is strong.,default-pass-guarded,Default pass + access + committee,9000,60.000,1714,11.427,11.533,0.190,0.192,0.592,0.585,0.113,0.211,0.810,0.578,0.230,0.222,0.569,0.066,0.268,0,0
high-lobbying,High Lobbying Pressure,Lobby pressure is strong.,default-pass-informed-guarded,Default pass + informed guarded committee,9000,60.000,1712,11.413,11.487,0.190,0.191,0.595,0.587,0.113,0.219,0.810,0.578,0.231,0.217,0.546,0.063,0.247,0,0
high-lobbying,High Lobbying Pressure,Lobby pressure is strong.,default-pass-cost-guarded,Default pass + costs + informed guardrails,9000,60.000,560,3.733,3.747,0.062,0.062,0.587,0.575,0.037,0.100,0.938,0.855,0.083,0.239,0.839,0.034,0.512,0,0
high-lobbying,High Lobbying Pressure,Lobby pressure is strong.,bicameral-majority,Bicameral simple majority,9000,60.000,1343,8.953,60.000,0.149,1.000,0.627,0.596,0.094,0.254,0.851,0.000,0.000,0.000,0.636,0.049,0.251,0,0
high-lobbying,High Lobbying Pressure,Lobby pressure is strong.,presidential-veto,Bicameral majority + presidential veto,9000,60.000,854,5.693,60.000,0.095,1.000,0.647,0.606,0.061,0.276,0.905,0.000,0.000,0.000,0.752,0.029,0.233,422,7
weak-constituency,Weak Constituency Pressure,Members are less responsive to public support.,simple-majority,Unicameral simple majority,9000,60.000,1921,12.807,60.000,0.213,1.000,0.578,0.590,0.123,0.215,0.787,0.000,0.000,0.000,0.583,0.078,0.294,0,0
weak-constituency,Weak Constituency Pressure,Members are less responsive to public support.,supermajority-60,Unicameral 60 percent passage,9000,60.000,384,2.560,60.000,0.043,1.000,0.642,0.679,0.027,0.342,0.957,0.000,0.000,0.000,0.886,0.008,0.138,0,0
weak-constituency,Weak Constituency Pressure,Members are less responsive to public support.,default-pass,Default pass unless 2/3 block,9000,60.000,7790,51.933,60.000,0.866,1.000,0.527,0.459,0.456,0.090,0.134,0.000,0.000,0.458,0.043,0.699,0.676,0,0
weak-constituency,Weak Constituency Pressure,Members are less responsive to public support.,default-pass-cost,Default pass + proposal costs,9000,60.000,4421,29.473,30.573,0.491,0.510,0.509,0.443,0.250,0.029,0.509,0.490,0.000,0.502,0.473,0.618,1.133,0,0
weak-constituency,Weak Constituency Pressure,Members are less responsive to public support.,default-pass-access,Default pass + proposal access screen,9000,60.000,2976,19.840,23.020,0.331,0.384,0.553,0.558,0.183,0.163,0.669,0.616,0.000,0.374,0.408,0.112,0.233,0,0
weak-constituency,Weak Constituency Pressure,Members are less responsive to public support.,default-pass-committee,Default pass + representative committee gate,9000,60.000,2626,17.507,17.707,0.292,0.295,0.549,0.535,0.160,0.163,0.708,0.000,0.705,0.338,0.519,0.146,0.406,0,0
weak-constituency,Weak Constituency Pressure,Members are less responsive to public support.,default-pass-guarded,Default pass + access + committee,9000,60.000,1710,11.400,11.480,0.190,0.191,0.565,0.593,0.107,0.207,0.810,0.566,0.243,0.254,0.614,0.063,0.252,0,0
weak-constituency,Weak Constituency Pressure,Members are less responsive to public support.,default-pass-informed-guarded,Default pass + informed guarded committee,9000,60.000,1648,10.987,11.053,0.183,0.184,0.565,0.599,0.103,0.205,0.817,0.569,0.247,0.251,0.613,0.060,0.251,0,0
weak-constituency,Weak Constituency Pressure,Members are less responsive to public support.,default-pass-cost-guarded,Default pass + costs + informed guardrails,9000,60.000,426,2.840,2.840,0.047,0.047,0.536,0.594,0.025,0.088,0.953,0.854,0.098,0.354,0.894,0.028,0.578,0,0
weak-constituency,Weak Constituency Pressure,Members are less responsive to public support.,bicameral-majority,Bicameral simple majority,9000,60.000,1064,7.093,60.000,0.118,1.000,0.598,0.615,0.071,0.265,0.882,0.000,0.000,0.000,0.742,0.033,0.211,0,0
