test,referenceScenario,stressedScenario,referenceCase,stressedCase,stressor,directionalLoss,compromiseLoss,weakMandateAdded,adminCostAdded,stressVerdict
Policy tournament clone/decoy attack,simple-majority-alternatives-pairwise,simple-majority-alternatives-strategic,clone-decoy-pressure,clone-decoy-pressure,strategic clone and decoy variant,0.069000,0.046000,0.010000,-0.077000,material vulnerability
Citizen-panel manipulation,citizen-assembly-threshold,citizen-assembly-manipulation-stress,capture-flooding,capture-flooding,"smaller, noisier, more manipulable panel",0.001000,0.018000,-0.005000,0.000000,limited observed degradation
Bad-faith harm claims,harm-weighted-majority,harm-weighted-loose-claims-majority,rights-harm-pressure,rights-harm-pressure,lower harm threshold creates more false-positive review pressure,-0.003000,-0.018000,-0.018000,0.000000,limited observed degradation
Astroturf objection pressure,public-objection-majority,public-objection-astroturf-majority,capture-flooding,capture-flooding,lower objection threshold and higher noise,0.011000,-0.006000,0.003000,0.010000,limited observed degradation
Agenda flooding,agenda-lottery-majority,agenda-lottery-majority,baseline,proposal-flooding,same agenda lottery under proposal flooding,0.006000,-0.011000,0.007000,-0.001000,limited observed degradation
Anti-capture defensive backlash,anti-capture-majority-bundle,anti-capture-majority-bundle,baseline,anti-lobbying-backlash,same anti-capture bundle under defensive lobbying backlash,-0.057000,-0.089000,-0.065000,-0.003000,stress variant improves this score profile
Open default-pass capture stress,default-pass,default-pass,baseline,capture-flooding,throughput stress test under capture and flooding,0.021000,0.027000,0.063000,0.000000,material vulnerability
