adversaryId,attackFamily,caseKey,baselineScenario,attackedScenario,mechanismFamily,budgetUnit,budgetValue,informationLevel,runs,legislators,baseBillsPerRun,traceRows,attackSuccessCount,attackSuccessRate,meanPublicPreferenceDistortionAdded,medianPublicPreferenceDistortionAdded,worstPublicPreferenceDistortionAdded,meanPublicSignalMovementAdded,medianPublicSignalMovementAdded,worstPublicSignalMovementAdded,falsePositiveBlockRate,falseNegativeClearanceRate,lowSupportEnactmentAddedRate,meanAdministrativeBurdenAdded,worstAdministrativeBurdenAdded,recoveryStatus,traceArtifact,claimBoundary
"A3","public_input_manipulation","public-input-manipulation-pressure","public-input-benign-majority","public-input-a3-manipulated-majority","public_objection_and_citizen_panel_majority","public_attention_units",1,"low",5,101,60,300,201,0.670000,-0.066144,-0.060000,0.215482,0.096089,0.096500,0.096500,0.100000,0.030000,0.016667,0.233300,0.475000,"not_modeled","reports/adversarial-failure-traces-a3.jsonl","A3 executable pilot only. Rows use same generated worlds and bill ids for benign public-input and manipulated objection/panel cells with synthetic public-attention budgets. This is not an empirical astroturf, public-comment, or panel-manipulation frequency estimate, not a full A1-A9 adversarial sweep, and not evidence for real-world institutional ranking."
"A3","public_input_manipulation","public-input-manipulation-pressure","public-input-benign-majority","public-input-a3-manipulated-majority","public_objection_and_citizen_panel_majority","public_attention_units",3,"low",5,101,60,300,300,1.000000,-0.131897,-0.146371,0.293071,0.143352,0.144500,0.144500,0.170000,0.013333,0.046667,0.554600,0.645000,"not_modeled","reports/adversarial-failure-traces-a3.jsonl","A3 executable pilot only. Rows use same generated worlds and bill ids for benign public-input and manipulated objection/panel cells with synthetic public-attention budgets. This is not an empirical astroturf, public-comment, or panel-manipulation frequency estimate, not a full A1-A9 adversarial sweep, and not evidence for real-world institutional ranking."
"A3","public_input_manipulation","public-input-manipulation-pressure","public-input-benign-majority","public-input-a3-manipulated-majority","public_objection_and_citizen_panel_majority","public_attention_units",6,"low",5,101,60,300,300,1.000000,-0.138088,-0.138758,0.318752,0.212960,0.216500,0.216500,0.130000,0.010000,0.050000,0.822900,0.900000,"not_modeled","reports/adversarial-failure-traces-a3.jsonl","A3 executable pilot only. Rows use same generated worlds and bill ids for benign public-input and manipulated objection/panel cells with synthetic public-attention budgets. This is not an empirical astroturf, public-comment, or panel-manipulation frequency estimate, not a full A1-A9 adversarial sweep, and not evidence for real-world institutional ranking."
"A3","public_input_manipulation","public-input-manipulation-pressure","public-input-benign-majority","public-input-a3-manipulated-majority","public_objection_and_citizen_panel_majority","public_attention_units",1,"medium",5,101,60,300,285,0.950000,-0.009543,-0.008830,0.313039,0.131284,0.134000,0.134000,0.103333,0.043333,0.023333,0.335200,0.505000,"not_modeled","reports/adversarial-failure-traces-a3.jsonl","A3 executable pilot only. Rows use same generated worlds and bill ids for benign public-input and manipulated objection/panel cells with synthetic public-attention budgets. This is not an empirical astroturf, public-comment, or panel-manipulation frequency estimate, not a full A1-A9 adversarial sweep, and not evidence for real-world institutional ranking."
"A3","public_input_manipulation","public-input-manipulation-pressure","public-input-benign-majority","public-input-a3-manipulated-majority","public_objection_and_citizen_panel_majority","public_attention_units",3,"medium",5,101,60,300,300,1.000000,-0.028650,-0.021792,0.420069,0.176594,0.182000,0.182000,0.150000,0.026667,0.053333,0.652600,0.735000,"not_modeled","reports/adversarial-failure-traces-a3.jsonl","A3 executable pilot only. Rows use same generated worlds and bill ids for benign public-input and manipulated objection/panel cells with synthetic public-attention budgets. This is not an empirical astroturf, public-comment, or panel-manipulation frequency estimate, not a full A1-A9 adversarial sweep, and not evidence for real-world institutional ranking."
"A3","public_input_manipulation","public-input-manipulation-pressure","public-input-benign-majority","public-input-a3-manipulated-majority","public_objection_and_citizen_panel_majority","public_attention_units",6,"medium",5,101,60,300,300,1.000000,-0.022715,-0.008301,0.447036,0.241482,0.254000,0.254000,0.093333,0.033333,0.073333,0.994200,1.080000,"not_modeled","reports/adversarial-failure-traces-a3.jsonl","A3 executable pilot only. Rows use same generated worlds and bill ids for benign public-input and manipulated objection/panel cells with synthetic public-attention budgets. This is not an empirical astroturf, public-comment, or panel-manipulation frequency estimate, not a full A1-A9 adversarial sweep, and not evidence for real-world institutional ranking."
