caseKey,caseName,caseDescription,scenarioKey,scenario,totalBills,potentialBillsPerRun,enactedBills,enactedPerRun,floorPerRun,productivity,floor,avgSupport,welfare,cooperation,compromise,gridlock,accessDenied,committeeRejected,challengeRate,lowSupport,popularFail,policyShift,proposerGain,lobbyCapture,publicAlignment,antiLobbyingSuccess,privateGainRatio,lobbySpendPerBill,defensiveLobbyingShare,captureReturnOnSpend,publicPreferenceDistortion,vetoes,overriddenVetoes
two-party,Two-Party System,Generated legislators sort into two broad parties.,default-pass-adaptive-track,Default pass + adaptive tracks,9000,60.000,4001,26.673,56.027,0.445,0.934,0.563,0.605,0.250,0.170,0.555,0.066,0.000,0.000,0.249,0.165,0.225,0.410,0.197,0.808,0.924,0.369,0.000,0.000,0.000,0.192,0,0
two-party,Two-Party System,Generated legislators sort into two broad parties.,default-pass-sunset-trial,Default pass + sunset trial,9000,60.000,4271,28.473,60.000,0.475,1.000,0.554,0.616,0.263,0.150,0.525,0.000,0.000,0.000,0.364,0.088,0.277,0.477,0.174,0.820,0.974,0.296,0.000,0.000,0.000,0.180,0,0
two-party,Two-Party System,Generated legislators sort into two broad parties.,default-pass-earned-credits,Default pass + earned proposal credits,9000,60.000,6523,43.487,51.360,0.725,0.856,0.536,0.504,0.389,0.110,0.275,0.144,0.000,0.000,0.435,0.119,0.568,0.655,0.250,0.802,0.891,0.572,0.000,0.000,0.000,0.198,0,0
two-party,Two-Party System,Generated legislators sort into two broad parties.,bicameral-majority,Bicameral simple majority,9000,60.000,1622,10.813,60.000,0.180,1.000,0.622,0.671,0.112,0.272,0.820,0.000,0.000,0.000,0.000,0.575,0.057,0.249,0.205,0.823,0.541,0.377,0.000,0.000,0.000,0.177,0,0
two-party,Two-Party System,Generated legislators sort into two broad parties.,presidential-veto,Bicameral majority + presidential veto,9000,60.000,1012,6.747,60.000,0.112,1.000,0.637,0.687,0.072,0.299,0.888,0.000,0.000,0.000,0.000,0.724,0.032,0.219,0.217,0.822,0.325,0.390,0.000,0.000,0.000,0.178,551,6
multi-party,Multi-Party System,Generated legislators sort into five parties.,simple-majority,Unicameral simple majority,9000,60.000,2421,16.140,60.000,0.269,1.000,0.597,0.637,0.161,0.226,0.731,0.000,0.000,0.000,0.000,0.429,0.109,0.327,0.205,0.828,0.754,0.386,0.000,0.000,0.000,0.172,0,0
multi-party,Multi-Party System,Generated legislators sort into five parties.,simple-majority-lobby-firewall,Unicameral majority + lobby firewall,9000,60.000,2505,16.700,60.000,0.278,1.000,0.611,0.642,0.170,0.227,0.722,0.000,0.000,0.000,0.000,0.400,0.116,0.340,0.189,0.839,0.805,0.345,0.000,0.000,0.000,0.161,0,0
multi-party,Multi-Party System,Generated legislators sort into five parties.,supermajority-60,Unicameral 60 percent passage,9000,60.000,811,5.407,60.000,0.090,1.000,0.671,0.713,0.060,0.358,0.910,0.000,0.000,0.000,0.000,0.751,0.019,0.155,0.193,0.828,0.313,0.333,0.000,0.000,0.000,0.172,0,0
multi-party,Multi-Party System,Generated legislators sort into five parties.,default-pass,Default pass unless 2/3 block,9000,60.000,7529,50.193,60.000,0.837,1.000,0.533,0.490,0.446,0.103,0.163,0.000,0.000,0.000,0.449,0.022,0.674,0.673,0.254,0.803,0.997,0.586,0.000,0.000,0.000,0.197,0,0
multi-party,Multi-Party System,Generated legislators sort into five parties.,default-pass-budgeted-lobbying,Default pass + budgeted lobbying,9000,60.000,7569,50.460,60.000,0.841,1.000,0.531,0.490,0.447,0.102,0.159,0.000,0.000,0.000,0.455,0.019,0.678,0.673,0.258,0.804,0.996,0.594,0.127,0.618,1.710,0.196,0,0
