caseKey,caseName,caseDescription,scenarioKey,scenario,totalBills,potentialBillsPerRun,enactedBills,enactedPerRun,floorPerRun,productivity,floor,avgSupport,welfare,cooperation,compromise,gridlock,accessDenied,committeeRejected,challengeRate,lowSupport,popularFail,policyShift,proposerGain,lobbyCapture,publicAlignment,antiLobbyingSuccess,privateGainRatio,lobbySpendPerBill,defensiveLobbyingShare,captureReturnOnSpend,publicPreferenceDistortion,vetoes,overriddenVetoes
extreme-proposal-pressure,Extreme Proposal Pressure,Five times as many potential proposals reach the institutional system.,supermajority-60,Unicameral 60 percent passage,45000,300.000,4073,27.153,300.000,0.091,1.000,0.665,0.717,0.060,0.359,0.909,0.000,0.000,0.000,0.000,0.748,0.019,0.146,0.196,0.828,0.298,0.339,0.000,0.000,0.000,0.172,0,0
extreme-proposal-pressure,Extreme Proposal Pressure,Five times as many potential proposals reach the institutional system.,default-pass,Default pass unless 2/3 block,45000,300.000,37748,251.653,300.000,0.839,1.000,0.534,0.496,0.448,0.107,0.161,0.000,0.000,0.000,0.444,0.024,0.667,0.660,0.256,0.801,0.998,0.590,0.000,0.000,0.000,0.199,0,0
extreme-proposal-pressure,Extreme Proposal Pressure,Five times as many potential proposals reach the institutional system.,default-pass-budgeted-lobbying,Default pass + budgeted lobbying,45000,300.000,37887,252.580,300.000,0.842,1.000,0.533,0.495,0.449,0.106,0.158,0.000,0.000,0.000,0.445,0.024,0.669,0.660,0.257,0.802,0.996,0.591,0.044,0.656,4.937,0.198,0,0
extreme-proposal-pressure,Extreme Proposal Pressure,Five times as many potential proposals reach the institutional system.,default-pass-budgeted-lobbying-transparency,Default pass + budgeted lobbying + transparency,45000,300.000,37518,250.120,300.000,0.834,1.000,0.533,0.497,0.444,0.107,0.166,0.000,0.000,0.000,0.449,0.021,0.664,0.663,0.197,0.797,0.998,0.571,0.044,0.656,3.752,0.203,0,0
extreme-proposal-pressure,Extreme Proposal Pressure,Five times as many potential proposals reach the institutional system.,default-pass-budgeted-lobbying-bundle,Default pass + budgeted lobbying + anti-capture bundle,45000,300.000,34073,227.153,288.227,0.757,0.961,0.537,0.515,0.407,0.112,0.243,0.039,0.000,0.000,0.441,0.032,0.597,0.655,0.178,0.812,0.963,0.440,0.044,0.656,3.068,0.188,0,0
extreme-proposal-pressure,Extreme Proposal Pressure,Five times as many potential proposals reach the institutional system.,default-pass-lobby-transparency,Default pass + lobby transparency,45000,300.000,37660,251.067,300.000,0.837,1.000,0.533,0.496,0.446,0.107,0.163,0.000,0.000,0.000,0.450,0.023,0.665,0.661,0.199,0.798,1.000,0.573,0.000,0.000,0.000,0.202,0,0
extreme-proposal-pressure,Extreme Proposal Pressure,Five times as many potential proposals reach the institutional system.,default-pass-public-interest-screen,Default pass + public-interest screen,45000,300.000,34446,229.640,272.120,0.765,0.907,0.535,0.512,0.409,0.110,0.235,0.093,0.000,0.000,0.441,0.053,0.599,0.649,0.216,0.804,0.944,0.433,0.000,0.000,0.000,0.196,0,0
extreme-proposal-pressure,Extreme Proposal Pressure,Five times as many potential proposals reach the institutional system.,default-pass-lobby-audit,Default pass + anti-capture audit,45000,300.000,34137,227.580,299.620,0.759,0.999,0.533,0.507,0.404,0.109,0.241,0.001,0.000,0.000,0.443,0.088,0.596,0.653,0.213,0.803,0.997,0.450,0.000,0.000,0.000,0.197,0,0
extreme-proposal-pressure,Extreme Proposal Pressure,Five times as many potential proposals reach the institutional system.,default-pass-anti-capture-bundle,Default pass + anti-capture bundle,45000,300.000,34138,227.587,288.240,0.759,0.961,0.537,0.515,0.407,0.112,0.241,0.039,0.000,0.000,0.442,0.031,0.598,0.655,0.177,0.812,0.963,0.437,0.000,0.000,0.000,0.188,0,0
extreme-proposal-pressure,Extreme Proposal Pressure,Five times as many potential proposals reach the institutional system.,default-pass-informed-guarded,Default pass + informed guarded committee,45000,300.000,10024,66.827,67.120,0.223,0.224,0.587,0.655,0.131,0.238,0.777,0.546,0.230,0.000,0.196,0.510,0.074,0.252,0.208,0.863,0.624,0.374,0.000,0.000,0.000,0.137,0,0
extreme-proposal-pressure,Extreme Proposal Pressure,Five times as many potential proposals reach the institutional system.,default-pass-challenge,Default pass + challenge vouchers,45000,300.000,41257,275.047,300.000,0.917,1.000,0.509,0.473,0.467,0.097,0.083,0.000,0.000,0.100,0.468,0.046,0.696,0.618,0.261,0.805,0.978,0.621,0.000,0.000,0.000,0.195,0,0
extreme-proposal-pressure,Extreme Proposal Pressure,Five times as many potential proposals reach the institutional system.,default-pass-cross-bloc,Default pass + cross-bloc cosponsors,45000,300.000,11583,77.220,77.727,0.257,0.259,0.581,0.677,0.150,0.253,0.743,0.741,0.000,0.000,0.206,0.456,0.082,0.251,0.161,0.825,0.870,0.266,0.000,0.000,0.000,0.175,0,0
extreme-proposal-pressure,Extreme Proposal Pressure,Five times as many potential proposals reach the institutional system.,default-pass-adaptive-track,Default pass + adaptive tracks,45000,300.000,19994,133.293,279.907,0.444,0.933,0.563,0.603,0.250,0.171,0.556,0.067,0.000,0.000,0.247,0.174,0.221,0.399,0.196,0.812,0.920,0.364,0.000,0.000,0.000,0.188,0,0
extreme-proposal-pressure,Extreme Proposal Pressure,Five times as many potential proposals reach the institutional system.,default-pass-sunset-trial,Default pass + sunset trial,45000,300.000,21321,142.140,300.000,0.474,1.000,0.557,0.614,0.264,0.153,0.526,0.000,0.000,0.000,0.355,0.096,0.268,0.457,0.174,0.824,0.976,0.294,0.000,0.000,0.000,0.176,0,0
extreme-proposal-pressure,Extreme Proposal Pressure,Five times as many potential proposals reach the institutional system.,default-pass-earned-credits,Default pass + earned proposal credits,45000,300.000,23544,156.960,183.067,0.523,0.610,0.540,0.531,0.283,0.122,0.477,0.390,0.000,0.000,0.420,0.295,0.376,0.589,0.225,0.810,0.744,0.477,0.000,0.000,0.000,0.190,0,0
extreme-proposal-pressure,Extreme Proposal Pressure,Five times as many potential proposals reach the institutional system.,bicameral-majority,Bicameral simple majority,45000,300.000,7964,53.093,300.000,0.177,1.000,0.623,0.674,0.110,0.278,0.823,0.000,0.000,0.000,0.000,0.576,0.054,0.235,0.199,0.829,0.538,0.357,0.000,0.000,0.000,0.171,0,0
extreme-proposal-pressure,Extreme Proposal Pressure,Five times as many potential proposals reach the institutional system.,presidential-veto,Bicameral majority + presidential veto,45000,300.000,5070,33.800,300.000,0.113,1.000,0.637,0.694,0.072,0.304,0.887,0.000,0.000,0.000,0.000,0.713,0.031,0.209,0.197,0.826,0.355,0.350,0.000,0.000,0.000,0.174,2715,27
lobby-fueled-flooding,Lobby-Fueled Flooding,High proposal pressure with strong lobbying and weaker constituency pressure.,simple-majority,Unicameral simple majority,27000,180.000,5963,39.753,180.000,0.221,1.000,0.583,0.629,0.129,0.235,0.779,0.000,0.000,0.000,0.000,0.547,0.084,0.297,0.336,0.807,0.412,0.686,0.000,0.000,0.000,0.193,0,0
lobby-fueled-flooding,Lobby-Fueled Flooding,High proposal pressure with strong lobbying and weaker constituency pressure.,simple-majority-lobby-firewall,Unicameral majority + lobby firewall,27000,180.000,6513,43.420,180.000,0.241,1.000,0.585,0.661,0.141,0.247,0.759,0.000,0.000,0.000,0.000,0.470,0.088,0.292,0.240,0.824,0.640,0.460,0.000,0.000,0.000,0.176,0,0
lobby-fueled-flooding,Lobby-Fueled Flooding,High proposal pressure with strong lobbying and weaker constituency pressure.,supermajority-60,Unicameral 60 percent passage,27000,180.000,1447,9.647,180.000,0.054,1.000,0.661,0.673,0.035,0.358,0.946,0.000,0.000,0.000,0.000,0.861,0.011,0.139,0.448,0.822,0.053,0.813,0.000,0.000,0.000,0.178,0,0
lobby-fueled-flooding,Lobby-Fueled Flooding,High proposal pressure with strong lobbying and weaker constituency pressure.,default-pass,Default pass unless 2/3 block,27000,180.000,22760,151.733,180.000,0.843,1.000,0.523,0.494,0.441,0.108,0.157,0.000,0.000,0.000,0.474,0.036,0.668,0.656,0.323,0.792,0.982,0.820,0.000,0.000,0.000,0.208,0,0
lobby-fueled-flooding,Lobby-Fueled Flooding,High proposal pressure with strong lobbying and weaker constituency pressure.,default-pass-budgeted-lobbying,Default pass + budgeted lobbying,27000,180.000,22824,152.160,180.000,0.845,1.000,0.522,0.494,0.441,0.108,0.155,0.000,0.000,0.000,0.479,0.038,0.668,0.655,0.325,0.793,0.979,0.823,0.102,0.757,2.684,0.207,0,0
lobby-fueled-flooding,Lobby-Fueled Flooding,High proposal pressure with strong lobbying and weaker constituency pressure.,default-pass-budgeted-lobbying-transparency,Default pass + budgeted lobbying + transparency,27000,180.000,22744,151.627,180.000,0.842,1.000,0.521,0.498,0.439,0.110,0.158,0.000,0.000,0.000,0.478,0.029,0.666,0.655,0.227,0.782,0.996,0.762,0.102,0.757,1.866,0.218,0,0
lobby-fueled-flooding,Lobby-Fueled Flooding,High proposal pressure with strong lobbying and weaker constituency pressure.,default-pass-budgeted-lobbying-bundle,Default pass + budgeted lobbying + anti-capture bundle,27000,180.000,18882,125.880,164.360,0.699,0.913,0.526,0.528,0.368,0.118,0.301,0.087,0.000,0.000,0.459,0.067,0.543,0.644,0.178,0.804,0.945,0.445,0.102,0.757,1.215,0.196,0,0
lobby-fueled-flooding,Lobby-Fueled Flooding,High proposal pressure with strong lobbying and weaker constituency pressure.,default-pass-lobby-transparency,Default pass + lobby transparency,27000,180.000,22747,151.647,180.000,0.842,1.000,0.522,0.497,0.440,0.111,0.158,0.000,0.000,0.000,0.471,0.034,0.665,0.654,0.229,0.784,0.997,0.763,0.000,0.000,0.000,0.216,0,0
lobby-fueled-flooding,Lobby-Fueled Flooding,High proposal pressure with strong lobbying and weaker constituency pressure.,default-pass-public-interest-screen,Default pass + public-interest screen,27000,180.000,18087,120.580,144.980,0.670,0.805,0.520,0.535,0.348,0.116,0.330,0.195,0.000,0.000,0.483,0.108,0.519,0.641,0.216,0.795,0.910,0.412,0.000,0.000,0.000,0.205,0,0
lobby-fueled-flooding,Lobby-Fueled Flooding,High proposal pressure with strong lobbying and weaker constituency pressure.,default-pass-lobby-audit,Default pass + anti-capture audit,27000,180.000,18245,121.633,179.540,0.676,0.997,0.516,0.521,0.349,0.113,0.324,0.003,0.000,0.000,0.489,0.173,0.528,0.647,0.219,0.794,0.980,0.479,0.000,0.000,0.000,0.206,0,0
lobby-fueled-flooding,Lobby-Fueled Flooding,High proposal pressure with strong lobbying and weaker constituency pressure.,default-pass-anti-capture-bundle,Default pass + anti-capture bundle,27000,180.000,18874,125.827,164.480,0.699,0.914,0.526,0.529,0.368,0.118,0.301,0.086,0.000,0.000,0.459,0.065,0.543,0.642,0.177,0.803,0.945,0.439,0.000,0.000,0.000,0.197,0,0
lobby-fueled-flooding,Lobby-Fueled Flooding,High proposal pressure with strong lobbying and weaker constituency pressure.,default-pass-informed-guarded,Default pass + informed guarded committee,27000,180.000,5175,34.500,34.760,0.192,0.193,0.569,0.637,0.109,0.228,0.808,0.542,0.265,0.000,0.274,0.573,0.066,0.256,0.321,0.844,0.382,0.641,0.000,0.000,0.000,0.156,0,0
lobby-fueled-flooding,Lobby-Fueled Flooding,High proposal pressure with strong lobbying and weaker constituency pressure.,default-pass-challenge,Default pass + challenge vouchers,27000,180.000,23166,154.440,180.000,0.858,1.000,0.500,0.480,0.429,0.103,0.142,0.000,0.000,0.166,0.483,0.097,0.633,0.600,0.318,0.796,0.928,0.810,0.000,0.000,0.000,0.204,0,0
lobby-fueled-flooding,Lobby-Fueled Flooding,High proposal pressure with strong lobbying and weaker constituency pressure.,default-pass-cross-bloc,Default pass + cross-bloc cosponsors,27000,180.000,5245,34.967,35.580,0.194,0.198,0.540,0.719,0.105,0.271,0.806,0.802,0.000,0.000,0.364,0.561,0.053,0.210,0.150,0.795,0.718,0.243,0.000,0.000,0.000,0.205,0,0
lobby-fueled-flooding,Lobby-Fueled Flooding,High proposal pressure with strong lobbying and weaker constituency pressure.,default-pass-adaptive-track,Default pass + adaptive tracks,27000,180.000,11226,74.840,161.013,0.416,0.895,0.542,0.617,0.225,0.179,0.584,0.104,0.002,0.000,0.307,0.203,0.197,0.379,0.244,0.796,0.853,0.485,0.000,0.000,0.000,0.204,0,0
lobby-fueled-flooding,Lobby-Fueled Flooding,High proposal pressure with strong lobbying and weaker constituency pressure.,default-pass-sunset-trial,Default pass + sunset trial,27000,180.000,11523,76.820,180.000,0.427,1.000,0.528,0.639,0.225,0.156,0.573,0.000,0.000,0.000,0.434,0.157,0.241,0.458,0.177,0.809,0.944,0.291,0.000,0.000,0.000,0.191,0,0
lobby-fueled-flooding,Lobby-Fueled Flooding,High proposal pressure with strong lobbying and weaker constituency pressure.,default-pass-earned-credits,Default pass + earned proposal credits,27000,180.000,15201,101.340,119.567,0.563,0.664,0.523,0.524,0.295,0.119,0.437,0.336,0.000,0.000,0.466,0.269,0.416,0.604,0.281,0.799,0.758,0.654,0.000,0.000,0.000,0.201,0,0
lobby-fueled-flooding,Lobby-Fueled Flooding,High proposal pressure with strong lobbying and weaker constituency pressure.,bicameral-majority,Bicameral simple majority,27000,180.000,3523,23.487,180.000,0.130,1.000,0.609,0.648,0.079,0.281,0.870,0.000,0.000,0.000,0.000,0.702,0.039,0.221,0.369,0.811,0.220,0.731,0.000,0.000,0.000,0.189,0,0
lobby-fueled-flooding,Lobby-Fueled Flooding,High proposal pressure with strong lobbying and weaker constituency pressure.,presidential-veto,Bicameral majority + presidential veto,27000,180.000,2207,14.713,180.000,0.082,1.000,0.621,0.662,0.051,0.298,0.918,0.000,0.000,0.000,0.000,0.798,0.024,0.214,0.378,0.809,0.134,0.718,0.000,0.000,0.000,0.191,1227,5
low-compromise-flooding,Low-Compromise Flooding,High proposal pressure in a low-compromise legislature.,simple-majority,Unicameral simple majority,27000,180.000,4615,30.767,180.000,0.171,1.000,0.572,0.648,0.098,0.236,0.829,0.000,0.000,0.000,0.000,0.597,0.062,0.285,0.223,0.803,0.488,0.427,0.000,0.000,0.000,0.197,0,0
low-compromise-flooding,Low-Compromise Flooding,High proposal pressure in a low-compromise legislature.,simple-majority-lobby-firewall,Unicameral majority + lobby firewall,27000,180.000,5034,33.560,180.000,0.186,1.000,0.580,0.662,0.108,0.239,0.814,0.000,0.000,0.000,0.000,0.547,0.070,0.296,0.192,0.813,0.617,0.353,0.000,0.000,0.000,0.187,0,0
low-compromise-flooding,Low-Compromise Flooding,High proposal pressure in a low-compromise legislature.,supermajority-60,Unicameral 60 percent passage,27000,180.000,865,5.767,180.000,0.032,1.000,0.645,0.728,0.021,0.382,0.968,0.000,0.000,0.000,0.000,0.901,0.005,0.113,0.244,0.793,0.083,0.422,0.000,0.000,0.000,0.207,0,0
low-compromise-flooding,Low-Compromise Flooding,High proposal pressure in a low-compromise legislature.,default-pass,Default pass unless 2/3 block,27000,180.000,22532,150.213,180.000,0.835,1.000,0.518,0.477,0.432,0.091,0.165,0.000,0.000,0.000,0.484,0.034,0.727,0.744,0.267,0.792,0.991,0.643,0.000,0.000,0.000,0.208,0,0
low-compromise-flooding,Low-Compromise Flooding,High proposal pressure in a low-compromise legislature.,default-pass-budgeted-lobbying,Default pass + budgeted lobbying,27000,180.000,22558,150.387,180.000,0.835,1.000,0.517,0.477,0.432,0.091,0.165,0.000,0.000,0.000,0.487,0.035,0.728,0.744,0.269,0.793,0.989,0.647,0.073,0.662,3.087,0.207,0,0
low-compromise-flooding,Low-Compromise Flooding,High proposal pressure in a low-compromise legislature.,default-pass-budgeted-lobbying-transparency,Default pass + budgeted lobbying + transparency,27000,180.000,22339,148.927,180.000,0.827,1.000,0.517,0.479,0.428,0.092,0.173,0.000,0.000,0.000,0.487,0.032,0.723,0.747,0.205,0.786,0.996,0.621,0.073,0.662,2.322,0.214,0,0
low-compromise-flooding,Low-Compromise Flooding,High proposal pressure in a low-compromise legislature.,default-pass-budgeted-lobbying-bundle,Default pass + budgeted lobbying + anti-capture bundle,27000,180.000,19934,132.893,170.807,0.738,0.949,0.520,0.500,0.384,0.096,0.262,0.051,0.000,0.000,0.479,0.045,0.637,0.736,0.181,0.800,0.952,0.452,0.073,0.662,1.832,0.200,0,0
low-compromise-flooding,Low-Compromise Flooding,High proposal pressure in a low-compromise legislature.,default-pass-lobby-transparency,Default pass + lobby transparency,27000,180.000,22419,149.460,180.000,0.830,1.000,0.517,0.479,0.430,0.092,0.170,0.000,0.000,0.000,0.486,0.032,0.724,0.745,0.206,0.787,0.997,0.622,0.000,0.000,0.000,0.213,0,0
low-compromise-flooding,Low-Compromise Flooding,High proposal pressure in a low-compromise legislature.,default-pass-public-interest-screen,Default pass + public-interest screen,27000,180.000,20051,133.673,159.647,0.743,0.887,0.518,0.496,0.385,0.095,0.257,0.113,0.000,0.000,0.484,0.073,0.636,0.730,0.218,0.792,0.928,0.441,0.000,0.000,0.000,0.208,0,0
low-compromise-flooding,Low-Compromise Flooding,High proposal pressure in a low-compromise legislature.,default-pass-lobby-audit,Default pass + anti-capture audit,27000,180.000,20047,133.647,179.867,0.742,0.999,0.517,0.490,0.384,0.094,0.258,0.001,0.000,0.000,0.485,0.102,0.640,0.735,0.219,0.793,0.991,0.474,0.000,0.000,0.000,0.207,0,0
low-compromise-flooding,Low-Compromise Flooding,High proposal pressure in a low-compromise legislature.,default-pass-anti-capture-bundle,Default pass + anti-capture bundle,27000,180.000,19972,133.147,170.860,0.740,0.949,0.520,0.499,0.385,0.096,0.260,0.051,0.000,0.000,0.483,0.047,0.638,0.737,0.180,0.800,0.952,0.451,0.000,0.000,0.000,0.200,0,0
low-compromise-flooding,Low-Compromise Flooding,High proposal pressure in a low-compromise legislature.,default-pass-informed-guarded,Default pass + informed guarded committee,27000,180.000,4373,29.153,29.440,0.162,0.164,0.550,0.650,0.089,0.225,0.838,0.582,0.254,0.000,0.301,0.623,0.054,0.246,0.222,0.835,0.473,0.416,0.000,0.000,0.000,0.165,0,0
low-compromise-flooding,Low-Compromise Flooding,High proposal pressure in a low-compromise legislature.,default-pass-challenge,Default pass + challenge vouchers,27000,180.000,22962,153.080,180.000,0.850,1.000,0.492,0.461,0.419,0.086,0.150,0.000,0.000,0.167,0.506,0.099,0.680,0.671,0.270,0.797,0.937,0.666,0.000,0.000,0.000,0.203,0,0
low-compromise-flooding,Low-Compromise Flooding,High proposal pressure in a low-compromise legislature.,default-pass-cross-bloc,Default pass + cross-bloc cosponsors,27000,180.000,3830,25.533,25.700,0.142,0.143,0.550,0.730,0.078,0.273,0.858,0.857,0.000,0.000,0.277,0.626,0.039,0.211,0.125,0.780,0.698,0.202,0.000,0.000,0.000,0.220,0,0
low-compromise-flooding,Low-Compromise Flooding,High proposal pressure in a low-compromise legislature.,default-pass-adaptive-track,Default pass + adaptive tracks,27000,180.000,10331,68.873,164.487,0.383,0.914,0.534,0.602,0.204,0.157,0.617,0.085,0.001,0.000,0.331,0.242,0.195,0.413,0.193,0.794,0.886,0.363,0.000,0.000,0.000,0.206,0,0
low-compromise-flooding,Low-Compromise Flooding,High proposal pressure in a low-compromise legislature.,default-pass-sunset-trial,Default pass + sunset trial,27000,180.000,11640,77.600,180.000,0.431,1.000,0.528,0.611,0.228,0.136,0.569,0.000,0.000,0.000,0.431,0.123,0.264,0.507,0.175,0.811,0.970,0.299,0.000,0.000,0.000,0.189,0,0
low-compromise-flooding,Low-Compromise Flooding,High proposal pressure in a low-compromise legislature.,default-pass-earned-credits,Default pass + earned proposal credits,27000,180.000,15152,101.013,120.400,0.561,0.669,0.519,0.505,0.292,0.100,0.439,0.331,0.000,0.000,0.478,0.267,0.456,0.687,0.243,0.796,0.769,0.541,0.000,0.000,0.000,0.204,0,0
low-compromise-flooding,Low-Compromise Flooding,High proposal pressure in a low-compromise legislature.,bicameral-majority,Bicameral simple majority,27000,180.000,2490,16.600,180.000,0.092,1.000,0.599,0.684,0.055,0.292,0.908,0.000,0.000,0.000,0.000,0.755,0.024,0.191,0.226,0.801,0.279,0.415,0.000,0.000,0.000,0.199,0,0
low-compromise-flooding,Low-Compromise Flooding,High proposal pressure in a low-compromise legislature.,presidential-veto,Bicameral majority + presidential veto,27000,180.000,1527,10.180,180.000,0.057,1.000,0.603,0.699,0.034,0.304,0.943,0.000,0.000,0.000,0.000,0.843,0.014,0.179,0.222,0.794,0.186,0.398,0.000,0.000,0.000,0.206,937,5
capture-crisis,Capture Crisis,"High lobbying, weak constituency pressure, low compromise, and high proposal pressure.",simple-majority,Unicameral simple majority,27000,180.000,4732,31.547,180.000,0.175,1.000,0.574,0.616,0.101,0.229,0.825,0.000,0.000,0.000,0.000,0.639,0.068,0.303,0.369,0.805,0.283,0.769,0.000,0.000,0.000,0.195,0,0
capture-crisis,Capture Crisis,"High lobbying, weak constituency pressure, low compromise, and high proposal pressure.",simple-majority-lobby-firewall,Unicameral majority + lobby firewall,27000,180.000,5188,34.587,180.000,0.192,1.000,0.572,0.667,0.110,0.252,0.808,0.000,0.000,0.000,0.000,0.557,0.066,0.272,0.242,0.816,0.521,0.456,0.000,0.000,0.000,0.184,0,0
capture-crisis,Capture Crisis,"High lobbying, weak constituency pressure, low compromise, and high proposal pressure.",supermajority-60,Unicameral 60 percent passage,27000,180.000,960,6.400,180.000,0.036,1.000,0.657,0.653,0.023,0.364,0.964,0.000,0.000,0.000,0.000,0.908,0.007,0.128,0.529,0.820,0.012,0.954,0.000,0.000,0.000,0.180,0,0
capture-crisis,Capture Crisis,"High lobbying, weak constituency pressure, low compromise, and high proposal pressure.",default-pass,Default pass unless 2/3 block,27000,180.000,22781,151.873,180.000,0.844,1.000,0.517,0.485,0.437,0.099,0.156,0.000,0.000,0.000,0.489,0.042,0.703,0.700,0.334,0.787,0.975,0.872,0.000,0.000,0.000,0.213,0,0
capture-crisis,Capture Crisis,"High lobbying, weak constituency pressure, low compromise, and high proposal pressure.",default-pass-budgeted-lobbying,Default pass + budgeted lobbying,27000,180.000,22818,152.120,180.000,0.845,1.000,0.517,0.484,0.437,0.099,0.155,0.000,0.000,0.000,0.490,0.043,0.704,0.700,0.336,0.788,0.968,0.879,0.106,0.768,2.695,0.212,0,0
capture-crisis,Capture Crisis,"High lobbying, weak constituency pressure, low compromise, and high proposal pressure.",default-pass-budgeted-lobbying-transparency,Default pass + budgeted lobbying + transparency,27000,180.000,22706,151.373,180.000,0.841,1.000,0.517,0.489,0.435,0.102,0.159,0.000,0.000,0.000,0.488,0.036,0.698,0.699,0.233,0.775,0.993,0.808,0.106,0.768,1.854,0.225,0,0
capture-crisis,Capture Crisis,"High lobbying, weak constituency pressure, low compromise, and high proposal pressure.",default-pass-budgeted-lobbying-bundle,Default pass + budgeted lobbying + anti-capture bundle,27000,180.000,18545,123.633,162.120,0.687,0.901,0.521,0.522,0.358,0.111,0.313,0.099,0.000,0.000,0.473,0.074,0.559,0.683,0.180,0.797,0.931,0.455,0.106,0.768,1.170,0.203,0,0
capture-crisis,Capture Crisis,"High lobbying, weak constituency pressure, low compromise, and high proposal pressure.",default-pass-lobby-transparency,Default pass + lobby transparency,27000,180.000,22750,151.667,180.000,0.843,1.000,0.518,0.488,0.437,0.102,0.157,0.000,0.000,0.000,0.480,0.035,0.699,0.698,0.234,0.777,0.994,0.806,0.000,0.000,0.000,0.223,0,0
capture-crisis,Capture Crisis,"High lobbying, weak constituency pressure, low compromise, and high proposal pressure.",default-pass-public-interest-screen,Default pass + public-interest screen,27000,180.000,17673,117.820,142.120,0.655,0.790,0.514,0.528,0.336,0.108,0.345,0.210,0.000,0.000,0.500,0.120,0.534,0.684,0.217,0.789,0.887,0.420,0.000,0.000,0.000,0.211,0,0
capture-crisis,Capture Crisis,"High lobbying, weak constituency pressure, low compromise, and high proposal pressure.",default-pass-lobby-audit,Default pass + anti-capture audit,27000,180.000,17937,119.580,179.247,0.664,0.996,0.511,0.513,0.339,0.106,0.336,0.004,0.000,0.000,0.507,0.189,0.544,0.687,0.222,0.790,0.973,0.503,0.000,0.000,0.000,0.210,0,0
capture-crisis,Capture Crisis,"High lobbying, weak constituency pressure, low compromise, and high proposal pressure.",default-pass-anti-capture-bundle,Default pass + anti-capture bundle,27000,180.000,18516,123.440,162.233,0.686,0.901,0.521,0.522,0.358,0.111,0.314,0.099,0.000,0.000,0.473,0.078,0.558,0.683,0.179,0.796,0.930,0.450,0.000,0.000,0.000,0.204,0,0
capture-crisis,Capture Crisis,"High lobbying, weak constituency pressure, low compromise, and high proposal pressure.",default-pass-informed-guarded,Default pass + informed guarded committee,27000,180.000,4374,29.160,29.420,0.162,0.163,0.557,0.633,0.090,0.219,0.838,0.560,0.276,0.000,0.306,0.628,0.057,0.260,0.338,0.834,0.304,0.681,0.000,0.000,0.000,0.166,0,0
capture-crisis,Capture Crisis,"High lobbying, weak constituency pressure, low compromise, and high proposal pressure.",default-pass-challenge,Default pass + challenge vouchers,27000,180.000,23047,153.647,180.000,0.854,1.000,0.494,0.469,0.421,0.095,0.146,0.000,0.000,0.166,0.504,0.111,0.658,0.635,0.327,0.791,0.908,0.866,0.000,0.000,0.000,0.209,0,0
capture-crisis,Capture Crisis,"High lobbying, weak constituency pressure, low compromise, and high proposal pressure.",default-pass-cross-bloc,Default pass + cross-bloc cosponsors,27000,180.000,3879,25.860,26.313,0.144,0.146,0.519,0.745,0.075,0.278,0.856,0.854,0.000,0.000,0.453,0.645,0.035,0.188,0.126,0.770,0.610,0.197,0.000,0.000,0.000,0.230,0,0
capture-crisis,Capture Crisis,"High lobbying, weak constituency pressure, low compromise, and high proposal pressure.",default-pass-adaptive-track,Default pass + adaptive tracks,27000,180.000,10486,69.907,158.253,0.388,0.879,0.528,0.615,0.205,0.170,0.612,0.118,0.003,0.000,0.358,0.233,0.188,0.391,0.242,0.789,0.820,0.486,0.000,0.000,0.000,0.211,0,0
capture-crisis,Capture Crisis,"High lobbying, weak constituency pressure, low compromise, and high proposal pressure.",default-pass-sunset-trial,Default pass + sunset trial,27000,180.000,10987,73.247,180.000,0.407,1.000,0.517,0.639,0.210,0.148,0.593,0.000,0.000,0.000,0.468,0.164,0.242,0.491,0.177,0.802,0.929,0.291,0.000,0.000,0.000,0.198,0,0
capture-crisis,Capture Crisis,"High lobbying, weak constituency pressure, low compromise, and high proposal pressure.",default-pass-earned-credits,Default pass + earned proposal credits,27000,180.000,14751,98.340,116.733,0.546,0.649,0.516,0.518,0.282,0.109,0.454,0.351,0.000,0.000,0.484,0.294,0.425,0.650,0.289,0.794,0.749,0.696,0.000,0.000,0.000,0.206,0,0
capture-crisis,Capture Crisis,"High lobbying, weak constituency pressure, low compromise, and high proposal pressure.",bicameral-majority,Bicameral simple majority,27000,180.000,2663,17.753,180.000,0.099,1.000,0.602,0.633,0.059,0.271,0.901,0.000,0.000,0.000,0.000,0.774,0.030,0.222,0.414,0.807,0.128,0.825,0.000,0.000,0.000,0.193,0,0
capture-crisis,Capture Crisis,"High lobbying, weak constituency pressure, low compromise, and high proposal pressure.",presidential-veto,Bicameral majority + presidential veto,27000,180.000,1609,10.727,180.000,0.060,1.000,0.613,0.646,0.037,0.290,0.940,0.000,0.000,0.000,0.000,0.853,0.017,0.210,0.433,0.806,0.073,0.834,0.000,0.000,0.000,0.194,856,3
popular-anti-lobbying-push,Popular Anti-Lobbying Push,High lobbying pressure with stronger public responsiveness and more appetite for reform.,simple-majority,Unicameral simple majority,18000,120.000,6169,41.127,120.000,0.343,1.000,0.619,0.638,0.212,0.234,0.657,0.000,0.000,0.000,0.000,0.309,0.140,0.327,0.302,0.838,0.695,0.607,0.000,0.000,0.000,0.162,0,0
