groupType,groupValue,billCount,actionCount,recordedVoteCount,meanActions,medianActions,publicLawCount,privateLawCount,sourceDateAnomalyCount,referredCount,referredRate,hearingCount,hearingRate,markupCount,markupRate,orderedReportedCount,orderedReportedRate,reportedCount,reportedRate,dischargedCount,dischargedRate,committeeAdvancedCount,committeeAdvancedRate,floorConsideredCount,floorConsideredRate,originPassageCount,originPassageRate,completedCongressionalPassageCount,completedCongressionalPassageRate,presentedCount,presentedRate,vetoedCount,vetoedRate,vetoOverriddenCount,vetoOverriddenRate,enactedCount,enactedRate
all,all H.R. and S. bills,14148,68345,427,4.830718,3.000000,333,0,24,14086,0.995618,676,0.047781,1297,0.091674,1264,0.089341,1035,0.073155,540,0.038168,1488,0.105174,1048,0.074074,1039,0.073438,334,0.023608,334,0.023608,2,0.000141,1,0.000071,333,0.023537
bill_type,hr,9062,52673,365,5.812514,4.000000,214,0,15,9062,1.000000,438,0.048334,866,0.095564,835,0.092143,624,0.068859,443,0.048885,956,0.105495,778,0.085853,777,0.085743,214,0.023615,214,0.023615,1,0.000110,1,0.000110,214,0.023615
bill_type,s,5086,15672,62,3.081400,2.000000,119,0,9,5024,0.987810,238,0.046795,431,0.084742,429,0.084349,411,0.080810,97,0.019072,532,0.104601,270,0.053087,262,0.051514,120,0.023594,120,0.023594,1,0.000197,0,0.000000,119,0.023398
