caseKey,caseName,caseDescription,scenarioKey,scenario,totalBills,potentialBillsPerRun,enactedBills,enactedPerRun,floorPerRun,productivity,floor,avgSupport,welfare,cooperation,compromise,gridlock,accessDenied,committeeRejected,challengeRate,lowSupport,popularFail,policyShift,proposerGain,lobbyCapture,publicAlignment,antiLobbyingSuccess,privateGainRatio,lobbySpendPerBill,defensiveLobbyingShare,captureReturnOnSpend,publicPreferenceDistortion,amendmentRate,amendmentMovement,minorityHarm,concentratedHarmPassage,compensationRate,legitimacy,activeLawWelfare,reversalRate,timeToCorrectBadLaw,statusQuoVolatility,lowSupportActiveLawShare,selectedAlternativeMedianDistance,proposerAgendaAdvantage,alternativeDiversity,statusQuoWinRate,publicBenefitPerLobbyDollar,directLobbySpendShare,agendaLobbySpendShare,informationLobbySpendShare,publicCampaignSpendShare,litigationThreatSpendShare,citizenReviewRate,citizenCertificationRate,citizenLegitimacy,attentionSpendPerBill,objectionWindowRate,repealWindowReversalRate,vetoes,overriddenVetoes
baseline,Baseline,Moderately polarized three-party legislature.,simple-majority,Unicameral simple majority,9000,60.000,2457,16.380,60.000,0.273,1.000,0.597,0.638,0.163,0.236,0.727,0.000,0.000,0.000,0.000,0.441,0.106,0.309,0.215,0.823,0.705,0.406,0.000,0.000,0.000,0.177,0.000,0.000,0.087,0.135,0.000,0.560,0.000,0.000,0.000,0.106,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,supermajority-60,Unicameral 60 percent passage,9000,60.000,795,5.300,60.000,0.088,1.000,0.667,0.720,0.059,0.369,0.912,0.000,0.000,0.000,0.000,0.761,0.018,0.141,0.193,0.831,0.307,0.333,0.000,0.000,0.000,0.169,0.000,0.000,0.049,0.028,0.000,0.667,0.000,0.000,0.000,0.018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass,Default pass unless 2/3 block,9000,60.000,7635,50.900,60.000,0.848,1.000,0.532,0.497,0.452,0.108,0.152,0.000,0.000,0.000,0.453,0.021,0.670,0.657,0.255,0.803,0.994,0.582,0.000,0.000,0.000,0.197,0.000,0.000,0.164,0.778,0.000,0.398,0.000,0.000,0.000,0.670,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-mediation,Default pass + mediated amendments,9000,60.000,8088,53.920,60.000,0.899,1.000,0.520,0.493,0.467,0.136,0.101,0.000,0.000,0.000,0.452,0.015,0.504,0.513,0.257,0.814,0.993,0.607,0.000,0.000,0.000,0.186,0.826,0.160,0.130,0.951,0.144,0.409,0.000,0.000,0.000,0.504,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-harm-threshold,Default pass + harm-weighted threshold,9000,60.000,6999,46.660,60.000,0.778,1.000,0.535,0.507,0.416,0.116,0.222,0.000,0.000,0.000,0.444,0.078,0.590,0.630,0.244,0.805,0.994,0.546,0.000,0.000,0.000,0.195,0.000,0.000,0.142,0.291,0.000,0.412,0.000,0.000,0.000,0.590,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-compensation,Default pass + compensation amendments,9000,60.000,7623,50.820,60.000,0.847,1.000,0.531,0.491,0.450,0.108,0.153,0.000,0.000,0.000,0.459,0.025,0.666,0.654,0.256,0.803,0.993,0.603,0.000,0.000,0.000,0.197,0.000,0.000,0.121,0.948,0.135,0.415,0.000,0.000,0.000,0.666,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-affected-consent,Default pass + affected-group consent,9000,60.000,7010,46.733,54.140,0.779,0.902,0.535,0.509,0.417,0.115,0.221,0.098,0.000,0.000,0.439,0.026,0.594,0.634,0.241,0.807,0.996,0.533,0.000,0.000,0.000,0.193,0.000,0.000,0.121,0.956,0.144,0.431,0.000,0.000,0.000,0.594,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-sunset-trial,Default pass + sunset trial,9000,60.000,4340,28.933,60.000,0.482,1.000,0.554,0.614,0.267,0.155,0.518,0.000,0.000,0.000,0.361,0.096,0.280,0.468,0.176,0.825,0.979,0.299,0.000,0.000,0.000,0.175,0.000,0.000,0.097,0.278,0.000,0.527,0.000,0.000,0.000,0.280,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-sunset-challenge,Default pass + sunset trial + challenge,9000,60.000,3344,22.293,60.000,0.372,1.000,0.557,0.627,0.207,0.182,0.628,0.000,0.000,0.500,0.279,0.289,0.181,0.389,0.175,0.826,0.859,0.294,0.000,0.000,0.000,0.174,0.000,0.000,0.092,0.190,0.000,0.535,0.000,0.000,0.000,0.181,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-law-registry,Default pass + law registry,9000,60.000,7871,52.473,60.000,0.875,1.000,0.550,0.491,0.481,0.134,0.125,0.000,0.000,0.000,0.397,0.017,0.837,0.596,0.256,0.795,0.993,0.591,0.000,0.000,0.000,0.205,0.000,0.000,0.168,0.814,0.000,0.396,0.568,0.530,5.109,0.837,0.056,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-law-registry-challenge,Default pass + law registry + challenge,9000,60.000,5337,35.580,60.000,0.593,1.000,0.539,0.523,0.320,0.153,0.407,0.000,0.000,0.500,0.337,0.234,0.441,0.482,0.245,0.812,0.883,0.551,0.000,0.000,0.000,0.188,0.000,0.000,0.153,0.496,0.000,0.421,0.561,0.567,5.091,0.441,0.047,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-informed-guarded,Default pass + informed guarded committee,9000,60.000,1968,13.120,13.207,0.219,0.220,0.587,0.658,0.128,0.248,0.781,0.540,0.240,0.000,0.195,0.533,0.070,0.242,0.205,0.864,0.618,0.368,0.000,0.000,0.000,0.136,0.000,0.000,0.080,0.092,0.000,0.559,0.000,0.000,0.000,0.070,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-challenge,Default pass + challenge vouchers,9000,60.000,5251,35.007,60.000,0.583,1.000,0.528,0.522,0.308,0.137,0.417,0.000,0.000,0.500,0.376,0.247,0.372,0.519,0.245,0.815,0.856,0.552,0.000,0.000,0.000,0.185,0.000,0.000,0.153,0.490,0.000,0.417,0.000,0.000,0.000,0.372,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-cross-bloc,Default pass + cross-bloc cosponsors,9000,60.000,2280,15.200,15.267,0.253,0.254,0.581,0.680,0.147,0.260,0.747,0.746,0.000,0.000,0.210,0.477,0.081,0.245,0.166,0.824,0.845,0.274,0.000,0.000,0.000,0.176,0.000,0.000,0.070,0.071,0.000,0.565,0.000,0.000,0.000,0.081,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-adaptive-track,Default pass + adaptive tracks,9000,60.000,4007,26.713,56.107,0.445,0.935,0.562,0.603,0.250,0.175,0.555,0.065,0.000,0.000,0.251,0.189,0.224,0.401,0.197,0.813,0.911,0.369,0.000,0.000,0.000,0.187,0.000,0.000,0.101,0.257,0.000,0.520,0.000,0.000,0.000,0.224,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-earned-credits,Default pass + earned proposal credits,9000,60.000,6573,43.820,51.600,0.730,0.860,0.534,0.506,0.390,0.112,0.270,0.140,0.000,0.000,0.444,0.122,0.565,0.641,0.246,0.806,0.886,0.546,0.000,0.000,0.000,0.194,0.000,0.000,0.157,0.633,0.000,0.407,0.000,0.000,0.000,0.565,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,bicameral-majority,Bicameral simple majority,9000,60.000,1586,10.573,60.000,0.176,1.000,0.620,0.673,0.109,0.282,0.824,0.000,0.000,0.000,0.000,0.592,0.053,0.231,0.202,0.831,0.537,0.366,0.000,0.000,0.000,0.169,0.000,0.000,0.070,0.065,0.000,0.600,0.000,0.000,0.000,0.053,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,presidential-veto,Bicameral majority + presidential veto,9000,60.000,1021,6.807,60.000,0.113,1.000,0.634,0.688,0.072,0.299,0.887,0.000,0.000,0.000,0.000,0.728,0.033,0.225,0.203,0.830,0.331,0.363,0.000,0.000,0.000,0.170,0.000,0.000,0.063,0.035,0.000,0.622,0.000,0.000,0.000,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,530,1
low-polarization,Low Polarization,Legislators are less ideologically clustered.,simple-majority,Unicameral simple majority,9000,60.000,4676,31.173,60.000,0.520,1.000,0.636,0.654,0.330,0.283,0.480,0.000,0.000,0.000,0.000,0.167,0.162,0.217,0.218,0.854,0.915,0.393,0.000,0.000,0.000,0.146,0.000,0.000,0.077,0.289,0.000,0.576,0.000,0.000,0.000,0.162,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,supermajority-60,Unicameral 60 percent passage,9000,60.000,2658,17.720,60.000,0.295,1.000,0.683,0.703,0.202,0.355,0.705,0.000,0.000,0.000,0.000,0.399,0.069,0.159,0.214,0.853,0.604,0.367,0.000,0.000,0.000,0.147,0.000,0.000,0.057,0.145,0.000,0.649,0.000,0.000,0.000,0.069,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,default-pass,Default pass unless 2/3 block,9000,60.000,7630,50.867,60.000,0.848,1.000,0.577,0.580,0.489,0.201,0.152,0.000,0.000,0.000,0.320,0.026,0.393,0.329,0.238,0.839,0.997,0.472,0.000,0.000,0.000,0.161,0.000,0.000,0.115,0.662,0.000,0.474,0.000,0.000,0.000,0.393,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,default-pass-mediation,Default pass + mediated amendments,9000,60.000,8440,56.267,60.000,0.938,1.000,0.569,0.562,0.534,0.201,0.062,0.000,0.000,0.000,0.322,0.010,0.370,0.318,0.244,0.838,0.999,0.508,0.000,0.000,0.000,0.162,0.713,0.090,0.106,0.976,0.088,0.460,0.000,0.000,0.000,0.370,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,default-pass-harm-threshold,Default pass + harm-weighted threshold,9000,60.000,7327,48.847,60.000,0.814,1.000,0.579,0.586,0.472,0.207,0.186,0.000,0.000,0.000,0.306,0.048,0.367,0.320,0.233,0.841,0.994,0.451,0.000,0.000,0.000,0.159,0.000,0.000,0.105,0.321,0.000,0.482,0.000,0.000,0.000,0.367,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,default-pass-compensation,Default pass + compensation amendments,9000,60.000,7642,50.947,60.000,0.849,1.000,0.577,0.576,0.490,0.200,0.151,0.000,0.000,0.000,0.318,0.024,0.396,0.331,0.240,0.840,0.994,0.484,0.000,0.000,0.000,0.160,0.000,0.000,0.096,0.906,0.081,0.482,0.000,0.000,0.000,0.396,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,default-pass-affected-consent,Default pass + affected-group consent,9000,60.000,7362,49.080,56.807,0.818,0.947,0.580,0.585,0.475,0.205,0.182,0.053,0.000,0.000,0.307,0.028,0.373,0.323,0.232,0.840,0.994,0.451,0.000,0.000,0.000,0.160,0.000,0.000,0.094,0.927,0.088,0.491,0.000,0.000,0.000,0.373,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
