sourceFamily,dataset,splitMethod,totalRows,calibrationRows,heldoutRows,totalUnits,calibrationUnits,heldoutUnits,unit,metric,calibrationValue,heldoutValue,allValue,trainHeldoutAbsDelta,calibrationTarget,simulatorScenario,simulatorMetric,simulatorObserved,targetMinimum,targetMaximum,heldoutTargetStatus,boundaryCategory,notes
govinfo bill and action records,govinfo_bill_census.csv,sha256(bill_id) first32bits mod 2 equals 0 held out,15066,7564,7502,15066,7564,7502,bill,enactmentRate,0.022607,0.024927,0.023762,0.002320,current-congress-enactment-rate,current-congress-workflow,productivity,0.025,0.012,0.033,pass,held-out benchmark,Share of introduced bills enacted.
govinfo bill and action records,govinfo_bill_census.csv,sha256(bill_id) first32bits mod 2 equals 0 held out,15066,7564,7502,15066,7564,7502,bill,floorLoad,0.065442,0.067715,0.066574,0.002274,current-congress-floor-consideration-rate,current-congress-workflow,floor,0.060,0.050,0.081,pass,held-out benchmark,Share of introduced bills receiving floor action.
govinfo bill and action records,govinfo_bill_census.csv,sha256(bill_id) first32bits mod 2 equals 0 held out,15066,7564,7502,15066,7564,7502,bill,committeeReportRate,0.063194,0.065183,0.064184,0.001989,,,,,,,reported,held-out benchmark,Share of introduced bills with a committee report action or citation; reported without a separate calibration target.
govinfo bill and action records,govinfo_bill_census.csv,sha256(bill_id) first32bits mod 2 equals 0 held out,15066,7564,7502,15066,7564,7502,bill,committeeAdvanceRate,0.099154,0.101440,0.100292,0.002286,current-congress-committee-advance-rate,current-congress-workflow,committeeAdvanceRate,0.108,0.079,0.120,pass,held-out benchmark,"Share of introduced bills ordered reported, reported, or discharged; matched to the workflow's broader committee-advancement construct."
govinfo bill and action records,govinfo_bill_census.csv,sha256(bill_id) first32bits mod 2 equals 0 held out,15066,7564,7502,15066,7564,7502,bill,originPassageRate,0.064384,0.067182,0.065777,0.002798,,,,,,,reported,held-out benchmark,Share of introduced bills passing the chamber of origin; reported without a separate calibration target.
govinfo bill and action records,govinfo_bill_census.csv,sha256(bill_id) first32bits mod 2 equals 0 held out,15066,7564,7502,15066,7564,7502,bill,completedCongressionalPassageRate,0.022607,0.024927,0.023762,0.002320,,,,,,,reported,held-out benchmark,Share completing congressional passage under the conservative census definition; reported without a separate calibration target.
Voteview roll-call data,voteview_rollcalls.csv,sha256(vote_id) first32bits mod 2 equals 0 held out,83636,42449,41187,320,163,157,roll call,coalitionSize,0.619547,0.588782,0.604453,0.030765,party-unity-support-band,current-system,averageEnactedSupport,0.668,0.560,0.780,pass,held-out benchmark,Mean winning-side share by roll call.
Voteview roll-call data,voteview_rollcalls.csv,sha256(vote_id) first32bits mod 2 equals 0 held out,83636,42449,41187,320,163,157,roll call,partyUnity,0.939404,0.953025,0.946078,0.013621,,,,,,,reported,held-out benchmark,Mean within-party majority vote share by roll call; reported without a simulator tolerance target.
Center for Effective Lawmaking and sponsor histories,sponsor_success.csv,sha256(sponsor_id) first32bits mod 2 equals 0 held out,22,11,11,22,11,11,sponsor,sponsorIntroductionGini,0.313131,0.438017,0.388636,0.124885,sponsor-success-concentration,current-system,proposerAccessGini,0.137,0.050,0.550,pass,held-out benchmark,Gini concentration of introduced bills by sponsor.
Center for Effective Lawmaking and sponsor histories,sponsor_success.csv,sha256(sponsor_id) first32bits mod 2 equals 0 held out,22,11,11,22,11,11,sponsor,sponsorSuccessGini,0.000000,0.000000,0.000000,0.000000,,,,,,,reported,held-out benchmark,Gini concentration of enacted bills by sponsor; reported only because the bounded sample has no enacted sponsor successes.
