calendarPriorityThreshold,seedCount,runsPerSeed,simulatedBills,defaultThreshold,committeeAdvanceRate,committeeAdvanceRateCalibrationError,floorConsiderationRate,floorConsiderationRateCalibrationError,enactmentRate,enactmentRateCalibrationError,calendarCapacityDenialRate,enactedBills,vetoes,overriddenVetoes,executiveDecisions,conditionalVetoRate,overrideRateAmongVetoes,standardizedSquaredError,selected
0.600,50,24,72000,0.680,0.104097,0.004943,0.091986,0.026544,0.035819,0.013212,0.012111,2579,888,0,3467,0.256129,0.000000,4.877193,0
0.610,50,24,72000,0.680,0.104125,0.004971,0.089167,0.023725,0.035222,0.012615,0.014958,2536,875,0,3411,0.256523,0.000000,4.093041,0
0.620,50,24,72000,0.680,0.104347,0.005193,0.085931,0.020489,0.034722,0.012115,0.018417,2500,836,0,3336,0.250600,0.000000,3.333471,0
0.630,50,24,72000,0.680,0.104722,0.005568,0.082153,0.016711,0.033583,0.010976,0.022569,2418,822,0,3240,0.253704,0.000000,2.445899,0
0.640,50,24,72000,0.680,0.105042,0.005888,0.078083,0.012641,0.032472,0.009865,0.026958,2338,786,0,3124,0.251601,0.000000,1.683472,0
0.650,50,24,72000,0.680,0.105472,0.006318,0.073528,0.008086,0.031083,0.008476,0.031944,2238,761,0,2999,0.253751,0.000000,1.009066,0
0.660,50,24,72000,0.680,0.105458,0.006304,0.068944,0.003502,0.029722,0.007115,0.036514,2140,732,0,2872,0.254875,0.000000,0.560791,0
0.670,50,24,72000,0.680,0.106236,0.007082,0.065236,-0.000206,0.028667,0.006060,0.041000,2064,694,0,2758,0.251632,0.000000,0.367383,0
0.680,50,24,72000,0.680,0.106278,0.007124,0.061097,-0.004345,0.027417,0.004810,0.045181,1974,647,0,2621,0.246852,0.000000,0.315223,1
0.690,50,24,72000,0.680,0.106583,0.007429,0.057292,-0.008150,0.026305,0.003698,0.049292,1894,605,0,2499,0.242097,0.000000,0.432022,0
0.700,50,24,72000,0.680,0.106694,0.007540,0.053931,-0.011511,0.025222,0.002615,0.052764,1816,580,0,2396,0.242070,0.000000,0.657339,0
0.710,50,24,72000,0.680,0.106736,0.007582,0.050833,-0.014609,0.023972,0.001365,0.055903,1726,545,0,2271,0.239982,0.000000,0.967147,0
0.720,50,24,72000,0.680,0.106819,0.007665,0.048708,-0.016734,0.023056,0.000449,0.058111,1660,540,0,2200,0.245455,0.000000,1.246534,0
0.730,50,24,72000,0.680,0.106569,0.007415,0.047208,-0.018234,0.022458,-0.000149,0.059361,1617,522,0,2139,0.244039,0.000000,1.477859,0
0.740,50,24,72000,0.680,0.106597,0.007443,0.046722,-0.018720,0.022319,-0.000288,0.059875,1607,514,0,2121,0.242339,0.000000,1.558304,0
