caseKey,caseName,caseDescription,scenarioKey,scenario,totalBills,potentialBillsPerRun,enactedBills,enactedPerRun,floorPerRun,productivity,floor,avgSupport,welfare,cooperation,compromise,gridlock,accessDenied,committeeRejected,challengeRate,lowSupport,popularFail,policyShift,proposerGain,lobbyCapture,publicAlignment,antiLobbyingSuccess,privateGainRatio,lobbySpendPerBill,defensiveLobbyingShare,captureReturnOnSpend,publicPreferenceDistortion,amendmentRate,amendmentMovement,minorityHarm,concentratedHarmPassage,compensationRate,legitimacy,activeLawWelfare,reversalRate,timeToCorrectBadLaw,statusQuoVolatility,lowSupportActiveLawShare,selectedAlternativeMedianDistance,proposerAgendaAdvantage,alternativeDiversity,statusQuoWinRate,publicBenefitPerLobbyDollar,directLobbySpendShare,agendaLobbySpendShare,informationLobbySpendShare,publicCampaignSpendShare,litigationThreatSpendShare,citizenReviewRate,citizenCertificationRate,citizenLegitimacy,attentionSpendPerBill,objectionWindowRate,repealWindowReversalRate,vetoes,overriddenVetoes
baseline,Baseline,Moderately polarized three-party legislature.,simple-majority,Unicameral simple majority,9000,60.000,2420,16.133,60.000,0.269,1.000,0.596,0.647,0.160,0.236,0.731,0.000,0.000,0.000,0.000,0.442,0.104,0.310,0.209,0.826,0.712,0.384,0.000,0.000,0.000,0.174,0.000,0.000,0.088,0.122,0.000,0.557,0.000,0.000,0.000,0.104,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,supermajority-60,Unicameral 60 percent passage,9000,60.000,812,5.413,60.000,0.090,1.000,0.663,0.722,0.060,0.364,0.910,0.000,0.000,0.000,0.000,0.754,0.018,0.143,0.199,0.828,0.277,0.338,0.000,0.000,0.000,0.172,0.000,0.000,0.052,0.023,0.000,0.657,0.000,0.000,0.000,0.018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass,Default pass unless 2/3 block,9000,60.000,7567,50.447,60.000,0.841,1.000,0.532,0.499,0.448,0.109,0.159,0.000,0.000,0.000,0.449,0.022,0.669,0.663,0.255,0.803,0.992,0.585,0.000,0.000,0.000,0.197,0.000,0.000,0.167,0.758,0.000,0.395,0.000,0.000,0.000,0.669,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-weighted-agenda-lottery,Default pass + weighted agenda lottery,9000,60.000,3730,24.867,28.000,0.414,0.467,0.540,0.548,0.224,0.122,0.586,0.533,0.000,0.000,0.419,0.409,0.305,0.610,0.227,0.810,0.609,0.460,0.000,0.000,0.000,0.190,0.000,0.000,0.139,0.307,0.000,0.445,0.000,0.000,0.000,0.305,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-random-agenda-lottery,Default pass + random agenda lottery,9000,60.000,3181,21.207,25.000,0.353,0.417,0.528,0.494,0.186,0.102,0.647,0.583,0.000,0.000,0.464,0.588,0.281,0.666,0.258,0.802,0.396,0.605,0.000,0.000,0.000,0.198,0.000,0.000,0.168,0.326,0.000,0.391,0.000,0.000,0.000,0.281,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-quadratic-attention,Default pass + quadratic attention budget,9000,60.000,4291,28.607,35.600,0.477,0.593,0.545,0.575,0.260,0.165,0.523,0.407,0.000,0.000,0.397,0.243,0.217,0.357,0.201,0.822,0.887,0.393,0.000,0.000,0.000,0.178,0.000,0.000,0.111,0.220,0.000,0.480,0.000,0.000,0.000,0.217,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.697,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-public-objection,Default pass + public objection window,9000,60.000,4043,26.953,60.000,0.449,1.000,0.559,0.595,0.251,0.176,0.551,0.000,0.000,0.000,0.258,0.214,0.215,0.381,0.203,0.813,0.920,0.386,0.000,0.000,0.000,0.187,0.000,0.000,0.103,0.218,0.000,0.506,0.000,0.000,0.000,0.215,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.650,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-repeal-window,Default pass + public repeal window,9000,60.000,4816,32.107,60.000,0.535,1.000,0.547,0.574,0.293,0.158,0.465,0.000,0.000,0.000,0.365,0.136,0.282,0.423,0.212,0.817,0.952,0.416,0.000,0.000,0.000,0.183,0.000,0.000,0.114,0.304,0.000,0.482,0.000,0.000,0.000,0.282,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.493,0.576,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-earned-credits,Default pass + earned proposal credits,9000,60.000,6547,43.647,51.687,0.727,0.861,0.534,0.509,0.388,0.112,0.273,0.139,0.000,0.000,0.442,0.121,0.563,0.643,0.246,0.807,0.889,0.544,0.000,0.000,0.000,0.193,0.000,0.000,0.159,0.613,0.000,0.405,0.000,0.000,0.000,0.563,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-challenge,Default pass + challenge vouchers,9000,60.000,5269,35.127,60.000,0.585,1.000,0.528,0.520,0.309,0.136,0.415,0.000,0.000,0.500,0.374,0.246,0.383,0.534,0.244,0.816,0.884,0.551,0.000,0.000,0.000,0.184,0.000,0.000,0.155,0.472,0.000,0.414,0.000,0.000,0.000,0.383,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
