caseKey,caseName,caseDescription,scenarioKey,scenario,totalBills,potentialBillsPerRun,enactedBills,enactedPerRun,floorPerRun,productivity,floor,avgSupport,welfare,cooperation,compromise,gridlock,accessDenied,committeeRejected,challengeRate,lowSupport,popularFail,policyShift,proposerGain,lobbyCapture,publicAlignment,antiLobbyingSuccess,privateGainRatio,vetoes,overriddenVetoes
multi-party,Multi-Party System,Generated legislators sort into five parties.,default-pass-lobby-firewall,Default pass + lobby firewall,9000,60.000,7391,49.273,60.000,0.821,1.000,0.535,0.499,0.439,0.109,0.179,0.000,0.000,0.000,0.453,0.015,0.662,0.670,0.249,0.814,0.999,0.571,0,0
multi-party,Multi-Party System,Generated legislators sort into five parties.,default-pass-lobby-transparency,Default pass + lobby transparency,9000,60.000,7581,50.540,60.000,0.842,1.000,0.530,0.493,0.446,0.107,0.158,0.000,0.000,0.000,0.456,0.019,0.678,0.669,0.198,0.799,0.999,0.580,0,0
multi-party,Multi-Party System,Generated legislators sort into five parties.,default-pass-public-interest-screen,Default pass + public-interest screen,9000,60.000,6854,45.693,54.180,0.762,0.903,0.534,0.510,0.407,0.111,0.238,0.097,0.000,0.000,0.447,0.048,0.602,0.657,0.214,0.804,0.940,0.428,0,0
multi-party,Multi-Party System,Generated legislators sort into five parties.,default-pass-lobby-audit,Default pass + anti-capture audit,9000,60.000,6885,45.900,59.993,0.765,1.000,0.531,0.504,0.406,0.108,0.235,0.000,0.000,0.000,0.451,0.078,0.611,0.664,0.213,0.804,0.997,0.453,0,0
multi-party,Multi-Party System,Generated legislators sort into five parties.,default-pass-anti-capture-bundle,Default pass + anti-capture bundle,9000,60.000,6847,45.647,57.453,0.761,0.958,0.536,0.513,0.408,0.113,0.239,0.042,0.000,0.000,0.449,0.027,0.605,0.661,0.177,0.813,0.966,0.436,0,0
multi-party,Multi-Party System,Generated legislators sort into five parties.,default-pass-informed-guarded,Default pass + informed guarded committee,9000,60.000,2045,13.633,13.700,0.227,0.228,0.592,0.654,0.134,0.249,0.773,0.543,0.229,0.000,0.181,0.488,0.075,0.247,0.202,0.865,0.639,0.367,0,0
multi-party,Multi-Party System,Generated legislators sort into five parties.,default-pass-challenge,Default pass + challenge vouchers,9000,60.000,3000,20.000,60.000,0.333,1.000,0.574,0.609,0.191,0.216,0.667,0.000,0.000,0.812,0.138,0.374,0.138,0.332,0.210,0.828,0.815,0.412,0,0
multi-party,Multi-Party System,Generated legislators sort into five parties.,default-pass-cross-bloc,Default pass + cross-bloc cosponsors,9000,60.000,3785,25.233,26.193,0.421,0.437,0.559,0.620,0.235,0.189,0.579,0.563,0.000,0.000,0.321,0.209,0.181,0.339,0.188,0.825,0.976,0.331,0,0
multi-party,Multi-Party System,Generated legislators sort into five parties.,default-pass-adaptive-track,Default pass + adaptive tracks,9000,60.000,3996,26.640,55.647,0.444,0.927,0.566,0.603,0.251,0.177,0.556,0.072,0.001,0.000,0.241,0.158,0.220,0.397,0.195,0.814,0.934,0.365,0,0
multi-party,Multi-Party System,Generated legislators sort into five parties.,default-pass-sunset-trial,Default pass + sunset trial,9000,60.000,4240,28.267,60.000,0.471,1.000,0.559,0.612,0.263,0.159,0.529,0.000,0.000,0.000,0.346,0.084,0.265,0.452,0.171,0.825,0.976,0.288,0,0
