caseKey,caseName,caseDescription,scenarioKey,scenario,totalBills,potentialBillsPerRun,enactedBills,enactedPerRun,floorPerRun,productivity,floor,avgSupport,welfare,cooperation,compromise,gridlock,accessDenied,committeeRejected,challengeRate,lowSupport,popularFail,policyShift,proposerGain,lobbyCapture,publicAlignment,antiLobbyingSuccess,privateGainRatio,lobbySpendPerBill,defensiveLobbyingShare,captureReturnOnSpend,publicPreferenceDistortion,amendmentRate,amendmentMovement,minorityHarm,concentratedHarmPassage,compensationRate,legitimacy,activeLawWelfare,reversalRate,timeToCorrectBadLaw,statusQuoVolatility,lowSupportActiveLawShare,selectedAlternativeMedianDistance,proposerAgendaAdvantage,alternativeDiversity,statusQuoWinRate,publicBenefitPerLobbyDollar,directLobbySpendShare,agendaLobbySpendShare,informationLobbySpendShare,publicCampaignSpendShare,litigationThreatSpendShare,citizenReviewRate,citizenCertificationRate,citizenLegitimacy,attentionSpendPerBill,objectionWindowRate,repealWindowReversalRate,fastLaneRate,middleLaneRate,highRiskLaneRate,challengeExhaustionRate,falseNegativePassRate,publicWillReviewRate,publicSignalMovement,districtAlignment,crossBlocAdmissionRate,affectedGroupSponsorshipRate,averageCosponsors,proposalBondForfeiture,strategicDecoyRate,proposerAccessGini,welfarePerSubmittedBill,vetoes,overriddenVetoes
baseline,Baseline,Moderately polarized three-party legislature.,simple-majority,Unicameral simple majority,4800,60.000,1305,16.313,60.000,0.272,1.000,0.592,0.628,0.161,0.219,0.728,0.000,0.000,0.000,0.000,0.422,0.113,0.336,0.217,0.827,0.720,0.423,0.000,0.000,0.000,0.173,0.000,0.000,0.094,0.137,0.000,0.547,0.000,0.000,0.000,0.113,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.089,0.171,0,0
baseline,Baseline,Moderately polarized three-party legislature.,supermajority-60,Unicameral 60 percent passage,4800,60.000,397,4.963,60.000,0.083,1.000,0.661,0.717,0.055,0.354,0.917,0.000,0.000,0.000,0.000,0.768,0.018,0.160,0.178,0.831,0.290,0.309,0.000,0.000,0.000,0.169,0.000,0.000,0.058,0.027,0.000,0.652,0.000,0.000,0.000,0.018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.089,0.059,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass,Default pass unless 2/3 block,4800,60.000,4049,50.613,60.000,0.844,1.000,0.531,0.487,0.448,0.105,0.156,0.000,0.000,0.000,0.454,0.023,0.680,0.671,0.256,0.801,0.997,0.599,0.000,0.000,0.000,0.199,0.000,0.000,0.170,0.749,0.000,0.388,0.000,0.000,0.000,0.680,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.089,0.411,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-constituent-public-will,Default pass + constituent public will,4800,60.000,3991,49.888,60.000,0.831,1.000,0.526,0.487,0.437,0.105,0.169,0.000,0.000,0.000,0.467,0.007,0.671,0.675,0.256,0.884,0.995,0.593,0.000,0.000,0.000,0.116,0.000,0.000,0.158,0.708,0.000,0.379,0.000,0.000,0.000,0.671,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.281,0.424,0.000,0.000,0.000,0.000,0.000,0.089,0.405,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-constituent-citizen-panel,Default pass + constituent public will + citizen panel,4800,60.000,1871,23.388,60.000,0.390,1.000,0.555,0.625,0.216,0.176,0.610,0.000,0.000,0.000,0.239,0.009,0.214,0.457,0.200,0.860,0.958,0.367,0.000,0.000,0.000,0.140,0.000,0.000,0.104,0.151,0.000,0.516,0.000,0.000,0.000,0.214,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.276,0.491,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.277,0.393,0.000,0.000,0.000,0.000,0.000,0.089,0.244,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-proposal-bonds,Default pass + proposal bonds,4800,60.000,4025,50.313,59.825,0.839,0.997,0.531,0.489,0.446,0.105,0.161,0.003,0.000,0.000,0.449,0.019,0.678,0.673,0.256,0.802,0.995,0.600,0.000,0.000,0.000,0.198,0.000,0.000,0.169,0.742,0.000,0.390,0.000,0.000,0.000,0.678,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.522,0.000,0.089,0.410,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-proposal-bonds-challenge,Default pass + proposal bonds + challenge,4800,60.000,2796,34.950,59.813,0.583,0.997,0.526,0.513,0.306,0.130,0.418,0.003,0.000,0.500,0.374,0.239,0.379,0.531,0.247,0.813,0.860,0.567,0.000,0.000,0.000,0.187,0.000,0.000,0.155,0.451,0.000,0.408,0.000,0.000,0.000,0.379,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.366,0.320,0.000,0.000,0.000,0.000,0.000,0.000,0.504,0.000,0.088,0.299,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-cross-bloc-credit-discount,Default pass + cross-bloc credit discount,4800,60.000,1258,15.725,15.738,0.262,0.262,0.589,0.676,0.154,0.243,0.738,0.738,0.000,0.000,0.191,0.381,0.091,0.273,0.159,0.804,0.876,0.270,0.000,0.000,0.000,0.196,0.000,0.000,0.056,0.082,0.000,0.609,0.000,0.000,0.000,0.091,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.262,0.244,5.306,0.000,0.000,0.165,0.177,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-affected-sponsor-gate,Default pass + affected-group sponsor gate,4800,60.000,868,10.850,10.850,0.181,0.181,0.608,0.719,0.110,0.266,0.819,0.819,0.000,0.000,0.121,0.502,0.060,0.257,0.137,0.785,0.747,0.228,0.000,0.000,0.000,0.215,0.000,0.000,0.035,0.037,0.000,0.663,0.000,0.000,0.000,0.060,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.181,0.223,4.166,0.000,0.000,0.174,0.130,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-multiround-mediation,Default pass + multi-round mediation,4800,60.000,4605,57.563,60.000,0.959,1.000,0.530,0.442,0.508,0.196,0.041,0.000,0.000,0.000,0.383,0.018,0.400,0.379,0.261,0.825,1.000,0.701,0.000,0.000,0.000,0.175,0.728,0.283,0.118,1.000,0.246,0.424,0.000,0.000,0.000,0.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.089,0.424,0,0
