historical_scan_rank,current_olrc_scan_rank,triage_rank,source_scan_rank,lineage_review_rank,bill_id,public_law_number,enacted_date,target_reference,target_reference_type,normalized_title,normalized_section,pre_edition,post_edition,pre_olrc_granule_id,pre_olrc_url,pre_fetch_status,pre_http_status,pre_text_sha256,pre_text_bytes,pre_public_law_reference_hits,post_olrc_granule_id,post_olrc_url,post_fetch_status,post_http_status,post_text_sha256,post_text_bytes,post_public_law_reference_hits,annual_text_hash_status,annual_public_law_window_status,historical_review_status,lineage_evidence_status,evidence_layers,missing_links,source_review_notes,claim_boundary
1,1,1,1,1,117-hr-1437,117-229,2022-12-16,18 USC 3551 note,direct_us_code_reference,18,3551,2021,2022,USC-2021-title18-section3551,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title18-section3551,official_olrc_annual_section_page_fetched,200,2649546c2077bd2272dde359024c4488de15bf66c7264c5258e241cf7ff3d1dd,181953,0,USC-2022-title18-section3551,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title18-section3551,official_olrc_annual_section_page_fetched,200,f623abd3ad974d698a46a460c2ff0832849f1804fa41f369b764b7525095fd24,189499,5,pre_post_hash_changed,public_law_appears_in_post_edition_only,annual_pre_post_pages_fetched_needs_manual_diff_review,historical_edition_scan_not_codified_lineage_or_text_diff_evidence,statutory_lineage_olrc_current_scan; official_olrc_annual_us_code_page; historical_edition_availability_scan,manual_olrc_classification_review; codified_usc_lineage_adjudication; source_reviewed_text_diff; public_law_causal_attribution; law_revision_effective_text; model_validation,Annual OLRC pre/post edition pages are source scaffolding only; manual classification and source-reviewed text-diff adjudication are still required.,"Official OLRC annual-edition availability scan only. Rows compare hashes and public-law mentions for year-before-enactment and enactment-year U.S. Code pages, but they do not establish historical codified U.S.C. lineage, public-law causation, before/after target-section text diffs, implementation outcomes, court review, welfare, causal effects, or model validation."
2,2,2,1,1,117-hr-1437,117-229,2022-12-16,42 USC 1395ww note,direct_us_code_reference,42,1395ww,2021,2022,USC-2021-title42-section1395ww,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title42-section1395ww,official_olrc_annual_section_page_fetched,200,176dc4c44f9601ccbdcddaf99256e7b8dcc4025707eac85a96d043f6a4f884a9,1511649,0,USC-2022-title42-section1395ww,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title42-section1395ww,official_olrc_annual_section_page_fetched,200,6d3e324970a89b2eb25cca90b5149a065e2863a289b605200dedb3d63a885ff6,1557267,14,pre_post_hash_changed,public_law_appears_in_post_edition_only,annual_pre_post_pages_fetched_needs_manual_diff_review,historical_edition_scan_not_codified_lineage_or_text_diff_evidence,statutory_lineage_olrc_current_scan; official_olrc_annual_us_code_page; historical_edition_availability_scan,manual_olrc_classification_review; codified_usc_lineage_adjudication; source_reviewed_text_diff; public_law_causal_attribution; law_revision_effective_text; model_validation,Annual OLRC pre/post edition pages are source scaffolding only; manual classification and source-reviewed text-diff adjudication are still required.,"Official OLRC annual-edition availability scan only. Rows compare hashes and public-law mentions for year-before-enactment and enactment-year U.S. Code pages, but they do not establish historical codified U.S.C. lineage, public-law causation, before/after target-section text diffs, implementation outcomes, court review, welfare, causal effects, or model validation."
3,3,3,1,1,117-hr-1437,117-229,2022-12-16,1 USC 1 note,direct_us_code_reference,1,1,2021,2022,USC-2021-title1-section1,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title1-section1,official_olrc_annual_section_page_fetched,200,972b5cd987d860748cd602f25cb09e104136290c5bef297c28b1f6d461edcf31,180341,0,USC-2022-title1-section1,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title1-section1,official_olrc_annual_section_page_fetched,200,845c5891f355033147a263564d43855409baffbb62ee250e784d30e0c81d6c27,184227,2,pre_post_hash_changed,public_law_appears_in_post_edition_only,annual_pre_post_pages_fetched_needs_manual_diff_review,historical_edition_scan_not_codified_lineage_or_text_diff_evidence,statutory_lineage_olrc_current_scan; official_olrc_annual_us_code_page; historical_edition_availability_scan,manual_olrc_classification_review; codified_usc_lineage_adjudication; source_reviewed_text_diff; public_law_causal_attribution; law_revision_effective_text; model_validation,Annual OLRC pre/post edition pages are source scaffolding only; manual classification and source-reviewed text-diff adjudication are still required.,"Official OLRC annual-edition availability scan only. Rows compare hashes and public-law mentions for year-before-enactment and enactment-year U.S. Code pages, but they do not establish historical codified U.S.C. lineage, public-law causation, before/after target-section text diffs, implementation outcomes, court review, welfare, causal effects, or model validation."
4,4,4,1,1,117-hr-1437,117-229,2022-12-16,18 USC 1 note,direct_us_code_reference,18,1,2021,2022,USC-2021-title18-section1,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title18-section1,official_olrc_annual_section_page_fetched,200,1673368ffae6eaa1b62d1e448436168f99c1a7a411fd02e34e88c8eb6ff19a5b,230731,0,USC-2022-title18-section1,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title18-section1,official_olrc_annual_section_page_fetched,200,fbf27f5d423169ad6147346986b56394fb7b3bc71e220c7ed687efb928153204,243580,2,pre_post_hash_changed,public_law_appears_in_post_edition_only,annual_pre_post_pages_fetched_needs_manual_diff_review,historical_edition_scan_not_codified_lineage_or_text_diff_evidence,statutory_lineage_olrc_current_scan; official_olrc_annual_us_code_page; historical_edition_availability_scan,manual_olrc_classification_review; codified_usc_lineage_adjudication; source_reviewed_text_diff; public_law_causal_attribution; law_revision_effective_text; model_validation,Annual OLRC pre/post edition pages are source scaffolding only; manual classification and source-reviewed text-diff adjudication are still required.,"Official OLRC annual-edition availability scan only. Rows compare hashes and public-law mentions for year-before-enactment and enactment-year U.S. Code pages, but they do not establish historical codified U.S.C. lineage, public-law causation, before/after target-section text diffs, implementation outcomes, court review, welfare, causal effects, or model validation."
5,5,5,1,1,117-hr-1437,117-229,2022-12-16,18 USC 3014(a),title_code_section_phrase,18,3014,2021,2022,USC-2021-title18-section3014,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title18-section3014,official_olrc_annual_section_page_fetched,200,dee88e02a45d0c18106de8888fa6062b0389abf5c443f6773ea7219414def89d,172536,0,USC-2022-title18-section3014,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title18-section3014,official_olrc_annual_section_page_fetched,200,f53a43770c905b2d26d2574e49a42493850ade8fc75e15fa75116822a3fe4e2e,178629,3,pre_post_hash_changed,public_law_appears_in_post_edition_only,annual_pre_post_pages_fetched_needs_manual_diff_review,historical_edition_scan_not_codified_lineage_or_text_diff_evidence,statutory_lineage_olrc_current_scan; official_olrc_annual_us_code_page; historical_edition_availability_scan,manual_olrc_classification_review; codified_usc_lineage_adjudication; source_reviewed_text_diff; public_law_causal_attribution; law_revision_effective_text; model_validation,Annual OLRC pre/post edition pages are source scaffolding only; manual classification and source-reviewed text-diff adjudication are still required.,"Official OLRC annual-edition availability scan only. Rows compare hashes and public-law mentions for year-before-enactment and enactment-year U.S. Code pages, but they do not establish historical codified U.S.C. lineage, public-law causation, before/after target-section text diffs, implementation outcomes, court review, welfare, causal effects, or model validation."
6,6,6,1,1,117-hr-1437,117-229,2022-12-16,21 USC 360ee(c),direct_us_code_reference,21,360ee,2021,2022,USC-2021-title21-section360ee,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title21-section360ee,official_olrc_annual_section_page_fetched,200,7d28b7dad7bf0a55eb60d4d62b32b338a23725fbe1d28b7cbbeff86a5a48d13f,170607,0,USC-2022-title21-section360ee,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title21-section360ee,official_olrc_annual_section_page_fetched,200,6679fe7d241cc3f9c339eb568defc28be1c5ef17b24afffe535b4d9fc93680ba,169759,3,pre_post_hash_changed,public_law_appears_in_post_edition_only,annual_pre_post_pages_fetched_needs_manual_diff_review,historical_edition_scan_not_codified_lineage_or_text_diff_evidence,statutory_lineage_olrc_current_scan; official_olrc_annual_us_code_page; historical_edition_availability_scan,manual_olrc_classification_review; codified_usc_lineage_adjudication; source_reviewed_text_diff; public_law_causal_attribution; law_revision_effective_text; model_validation,Annual OLRC pre/post edition pages are source scaffolding only; manual classification and source-reviewed text-diff adjudication are still required.,"Official OLRC annual-edition availability scan only. Rows compare hashes and public-law mentions for year-before-enactment and enactment-year U.S. Code pages, but they do not establish historical codified U.S.C. lineage, public-law causation, before/after target-section text diffs, implementation outcomes, court review, welfare, causal effects, or model validation."
7,7,7,1,1,117-hr-1437,117-229,2022-12-16,21 USC 360j(m)(6)(A)(iv),direct_us_code_reference,21,360j,2021,2022,USC-2021-title21-section360j,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title21-section360j,official_olrc_annual_section_page_fetched,200,89aba8d78267e11d6f62268ef327ab41c4b257794cb9a96eae0c9e54170ff3a2,284539,0,USC-2022-title21-section360j,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title21-section360j,official_olrc_annual_section_page_fetched,200,fb7f3fae5a20c81c21a7f06a6b3d30d4af74ad951d34ddafb5d280ad50101ff4,273313,2,pre_post_hash_changed,public_law_appears_in_post_edition_only,annual_pre_post_pages_fetched_needs_manual_diff_review,historical_edition_scan_not_codified_lineage_or_text_diff_evidence,statutory_lineage_olrc_current_scan; official_olrc_annual_us_code_page; historical_edition_availability_scan,manual_olrc_classification_review; codified_usc_lineage_adjudication; source_reviewed_text_diff; public_law_causal_attribution; law_revision_effective_text; model_validation,Annual OLRC pre/post edition pages are source scaffolding only; manual classification and source-reviewed text-diff adjudication are still required.,"Official OLRC annual-edition availability scan only. Rows compare hashes and public-law mentions for year-before-enactment and enactment-year U.S. Code pages, but they do not establish historical codified U.S.C. lineage, public-law causation, before/after target-section text diffs, implementation outcomes, court review, welfare, causal effects, or model validation."
8,8,8,1,1,117-hr-1437,117-229,2022-12-16,42 USC 1395iii(b)(1),direct_us_code_reference,42,1395iii,2021,2022,USC-2021-title42-section1395iii,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title42-section1395iii,official_olrc_annual_section_page_fetched,200,fa48fd5f85a51937c2b084eef74b86c7a29c3051fad9680ddc61b54d970a2a27,165029,0,USC-2022-title42-section1395iii,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title42-section1395iii,official_olrc_annual_section_page_fetched,200,40a5454bcc3bb4caacac9950b22bf9baee7d344c1a744bac83634bab9dc8dbf0,168532,2,pre_post_hash_changed,public_law_appears_in_post_edition_only,annual_pre_post_pages_fetched_needs_manual_diff_review,historical_edition_scan_not_codified_lineage_or_text_diff_evidence,statutory_lineage_olrc_current_scan; official_olrc_annual_us_code_page; historical_edition_availability_scan,manual_olrc_classification_review; codified_usc_lineage_adjudication; source_reviewed_text_diff; public_law_causal_attribution; law_revision_effective_text; model_validation,Annual OLRC pre/post edition pages are source scaffolding only; manual classification and source-reviewed text-diff adjudication are still required.,"Official OLRC annual-edition availability scan only. Rows compare hashes and public-law mentions for year-before-enactment and enactment-year U.S. Code pages, but they do not establish historical codified U.S.C. lineage, public-law causation, before/after target-section text diffs, implementation outcomes, court review, welfare, causal effects, or model validation."
9,9,9,1,1,117-hr-1437,117-229,2022-12-16,42 USC 1395ww(b)(3)(D),direct_us_code_reference,42,1395ww,2021,2022,USC-2021-title42-section1395ww,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title42-section1395ww,official_olrc_annual_section_page_fetched,200,176dc4c44f9601ccbdcddaf99256e7b8dcc4025707eac85a96d043f6a4f884a9,1511649,0,USC-2022-title42-section1395ww,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title42-section1395ww,official_olrc_annual_section_page_fetched,200,6d3e324970a89b2eb25cca90b5149a065e2863a289b605200dedb3d63a885ff6,1557267,14,pre_post_hash_changed,public_law_appears_in_post_edition_only,annual_pre_post_pages_fetched_needs_manual_diff_review,historical_edition_scan_not_codified_lineage_or_text_diff_evidence,statutory_lineage_olrc_current_scan; official_olrc_annual_us_code_page; historical_edition_availability_scan,manual_olrc_classification_review; codified_usc_lineage_adjudication; source_reviewed_text_diff; public_law_causal_attribution; law_revision_effective_text; model_validation,Annual OLRC pre/post edition pages are source scaffolding only; manual classification and source-reviewed text-diff adjudication are still required.,"Official OLRC annual-edition availability scan only. Rows compare hashes and public-law mentions for year-before-enactment and enactment-year U.S. Code pages, but they do not establish historical codified U.S.C. lineage, public-law causation, before/after target-section text diffs, implementation outcomes, court review, welfare, causal effects, or model validation."
10,10,10,1,1,117-hr-1437,117-229,2022-12-16,42 USC 1395ww(d)(5)(G),direct_us_code_reference,42,1395ww,2021,2022,USC-2021-title42-section1395ww,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title42-section1395ww,official_olrc_annual_section_page_fetched,200,176dc4c44f9601ccbdcddaf99256e7b8dcc4025707eac85a96d043f6a4f884a9,1511649,0,USC-2022-title42-section1395ww,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title42-section1395ww,official_olrc_annual_section_page_fetched,200,6d3e324970a89b2eb25cca90b5149a065e2863a289b605200dedb3d63a885ff6,1557267,14,pre_post_hash_changed,public_law_appears_in_post_edition_only,annual_pre_post_pages_fetched_needs_manual_diff_review,historical_edition_scan_not_codified_lineage_or_text_diff_evidence,statutory_lineage_olrc_current_scan; official_olrc_annual_us_code_page; historical_edition_availability_scan,manual_olrc_classification_review; codified_usc_lineage_adjudication; source_reviewed_text_diff; public_law_causal_attribution; law_revision_effective_text; model_validation,Annual OLRC pre/post edition pages are source scaffolding only; manual classification and source-reviewed text-diff adjudication are still required.,"Official OLRC annual-edition availability scan only. Rows compare hashes and public-law mentions for year-before-enactment and enactment-year U.S. Code pages, but they do not establish historical codified U.S.C. lineage, public-law causation, before/after target-section text diffs, implementation outcomes, court review, welfare, causal effects, or model validation."
