metric,censusField,simulatorField,selectionCongress,testCongress,frozenThreshold,seedCount,simulatedBills,selectionTargetRate,calibrationCongressCount,calibrationCongressBills,calibrationCongressRate,testCount,testBills,testRate,testWilson95Low,testWilson95High,empiricalRateShift,simulatorMean,transportError,absoluteTransportError,prespecifiedTolerance,toleranceStatus,baselineMinimum,baselineMaximum,testRateInBaselineRange
committeeAdvanceRate,committee_advanced,committeeAdvanceRate,117,116,0.680,50,72000,0.099154,1511,15066,0.100292,1488,14148,0.105174,0.100226,0.110337,0.004882,0.106278,0.001104,0.001104,0.020000,pass,0.079000,0.120000,pass
floorConsiderationRate,floor_considered,floorConsiderationRate,117,116,0.680,50,72000,0.065442,1003,15066,0.066574,1048,14148,0.074074,0.069873,0.078506,0.007500,0.061097,-0.012977,0.012977,0.015000,pass,0.050000,0.081000,pass
enactmentRate,enacted,enactmentRate,117,116,0.680,50,72000,0.022607,358,15066,0.023762,333,14148,0.023537,0.021165,0.026167,-0.000225,0.027417,0.003880,0.003880,0.010000,pass,0.012000,0.033000,pass
committeeAdvanceRate,committee_advanced,committeeAdvanceRate,117,118,0.680,50,72000,0.099154,1511,15066,0.100292,1843,16213,0.113674,0.108880,0.118652,0.013382,0.106278,-0.007396,0.007396,0.020000,pass,0.079000,0.120000,pass
floorConsiderationRate,floor_considered,floorConsiderationRate,117,118,0.680,50,72000,0.065442,1003,15066,0.066574,957,16213,0.059027,0.055502,0.062760,-0.007547,0.061097,0.002070,0.002070,0.015000,pass,0.050000,0.081000,pass
enactmentRate,enacted,enactmentRate,117,118,0.680,50,72000,0.022607,358,15066,0.023762,269,16213,0.016592,0.014737,0.018675,-0.007170,0.027417,0.010825,0.010825,0.010000,fail,0.012000,0.033000,pass
