groupType,groupValue,billCount,actionCount,recordedVoteCount,meanActions,medianActions,publicLawCount,privateLawCount,sourceDateAnomalyCount,referredCount,referredRate,hearingCount,hearingRate,markupCount,markupRate,orderedReportedCount,orderedReportedRate,reportedCount,reportedRate,dischargedCount,dischargedRate,committeeAdvancedCount,committeeAdvancedRate,floorConsideredCount,floorConsideredRate,originPassageCount,originPassageRate,completedCongressionalPassageCount,completedCongressionalPassageRate,presentedCount,presentedRate,vetoedCount,vetoedRate,vetoOverriddenCount,vetoOverriddenRate,enactedCount,enactedRate
policy_area,Commerce,589,2836,38,4.814941,3.000000,13,0,0,588,0.998302,14,0.023769,75,0.127334,74,0.125637,59,0.100170,16,0.027165,78,0.132428,57,0.096774,56,0.095076,13,0.022071,13,0.022071,0,0.000000,0,0.000000,13,0.022071
policy_area,Finance and Financial Sector,582,2316,16,3.979381,3.000000,4,0,0,578,0.993127,45,0.077320,49,0.084192,49,0.084192,26,0.044674,9,0.015464,55,0.094502,38,0.065292,38,0.065292,4,0.006873,4,0.006873,0,0.000000,0,0.000000,4,0.006873
policy_area,Immigration,525,2373,13,4.520000,4.000000,3,0,0,521,0.992381,5,0.009524,20,0.038095,20,0.038095,18,0.034286,10,0.019048,23,0.043810,16,0.030476,15,0.028571,3,0.005714,3,0.005714,0,0.000000,0,0.000000,3,0.005714
policy_area,Energy,496,2136,2,4.306452,4.000000,0,0,0,495,0.997984,44,0.088710,21,0.042339,21,0.042339,20,0.040323,12,0.024194,23,0.046371,8,0.016129,8,0.016129,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000
policy_area,Labor and Employment,490,1873,15,3.822449,3.000000,1,0,0,485,0.989796,3,0.006122,17,0.034694,17,0.034694,16,0.032653,5,0.010204,17,0.034694,13,0.026531,13,0.026531,1,0.002041,1,0.002041,0,0.000000,0,0.000000,1,0.002041
policy_area,"Science, Technology, Communications",449,2646,47,5.893096,4.000000,6,0,0,448,0.997773,4,0.008909,72,0.160356,72,0.160356,69,0.153675,24,0.053452,75,0.167038,50,0.111359,50,0.111359,6,0.013363,6,0.013363,0,0.000000,0,0.000000,6,0.013363
policy_area,Environmental Protection,425,2106,9,4.955294,4.000000,4,0,1,423,0.995294,47,0.110588,37,0.087059,37,0.087059,34,0.080000,23,0.054118,39,0.091765,19,0.044706,19,0.044706,4,0.009412,4,0.009412,0,0.000000,0,0.000000,4,0.009412
policy_area,Agriculture and Food,349,1367,9,3.916905,3.000000,4,0,0,347,0.994269,3,0.008596,15,0.042980,15,0.042980,16,0.045845,4,0.011461,16,0.045845,9,0.025788,9,0.025788,4,0.011461,4,0.011461,0,0.000000,0,0.000000,4,0.011461
policy_area,Housing and Community Development,222,797,0,3.590090,3.000000,0,0,0,222,1.000000,24,0.108108,14,0.063063,14,0.063063,4,0.018018,1,0.004505,14,0.063063,5,0.022523,5,0.022523,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000
policy_area,Native Americans,219,1611,22,7.356164,4.000000,17,0,1,218,0.995434,63,0.287671,53,0.242009,53,0.242009,46,0.210046,30,0.136986,56,0.255708,37,0.168950,37,0.168950,17,0.077626,17,0.077626,0,0.000000,0,0.000000,17,0.077626
