adversaryId,attackFamily,caseKey,baselineScenario,attackedScenario,mechanismFamily,budgetUnit,budgetValue,informationLevel,runs,legislators,baseBillsPerRun,traceRows,attackSuccessCount,attackSuccessRate,signalDistortionSuccessRate,decisionFailureAddedRate,meanInputSignalDistortion,meanResidualSignalDistortion,medianResidualSignalDistortion,worstResidualSignalDistortion,meanGeneratedSupportErrorAdded,medianGeneratedSupportErrorAdded,worstGeneratedSupportErrorAdded,meanPublicBenefitSignalErrorAdded,worstPublicBenefitSignalErrorAdded,meanPublicPreferenceDistortionAdded,worstPublicPreferenceDistortionAdded,meanSignalCorrection,meanCorrectionShare,falseConsensusSignalRate,falseOppositionSignalRate,lowSupportEnactmentAddedRate,popularFailureAddedRate,highBenefitBlockAddedRate,harmfulEnactmentAddedRate,meanAttackerResourceSpend,meanAdministrativeBurdenAdded,worstAdministrativeBurdenAdded,recoveryStatus,traceArtifact,claimBoundary
"A8","public_support_distortion","public-support-distortion","signal-reliant-majority-baseline","signal-reliant-majority-a8-distorted","signal_reliant_majority","public_campaign_units",1,"low",5,101,60,300,300,1.000000,1.000000,0.036667,0.053000,0.053000,0.053000,0.053000,0.053000,0.053000,0.053000,-0.047078,0.053000,0.007903,0.049505,0.000000,0.000000,0.046667,0.033333,0.023333,0.013333,0.000000,0.003333,3.450000,0.022500,0.022500,"not_applicable_no_signal_verification","reports/adversarial-failure-traces-a8.jsonl","A8 executable pilot only. Rows pair the same generated world, bill, status quo, formal process, and vote-random stream while an outside campaign changes only the observable public-support and salience signal plus traced campaign/attention spend. Generated support, public benefit, affected-group support, concentrated harm, and private gain remain latent evaluation values. The signal-reliant and constituent-verified paths use no objection window or citizen panel, separating this pilot from A3 formal public-input manipulation. Signal shifts and verification strengths are synthetic assumptions, not empirical campaign effects or district-opinion estimates, not a full A1-A9 sweep, and not evidence for real-world institutional ranking."
"A8","public_support_distortion","public-support-distortion","signal-reliant-majority-baseline","signal-reliant-majority-a8-distorted","signal_reliant_majority","public_campaign_units",3,"low",5,101,60,300,300,1.000000,1.000000,0.066667,0.089000,0.089000,0.089000,0.089000,0.089000,0.089000,0.089000,-0.078191,0.089000,0.014690,0.099010,0.000000,0.000000,0.100000,0.060000,0.033333,0.033333,0.003333,0.006667,10.350000,0.067500,0.067500,"not_applicable_no_signal_verification","reports/adversarial-failure-traces-a8.jsonl","A8 executable pilot only. Rows pair the same generated world, bill, status quo, formal process, and vote-random stream while an outside campaign changes only the observable public-support and salience signal plus traced campaign/attention spend. Generated support, public benefit, affected-group support, concentrated harm, and private gain remain latent evaluation values. The signal-reliant and constituent-verified paths use no objection window or citizen panel, separating this pilot from A3 formal public-input manipulation. Signal shifts and verification strengths are synthetic assumptions, not empirical campaign effects or district-opinion estimates, not a full A1-A9 sweep, and not evidence for real-world institutional ranking."
"A8","public_support_distortion","public-support-distortion","signal-reliant-majority-baseline","signal-reliant-majority-a8-distorted","signal_reliant_majority","public_campaign_units",6,"low",5,101,60,300,300,1.000000,1.000000,0.103333,0.143000,0.143000,0.143000,0.143000,0.143000,0.143000,0.143000,-0.124049,0.143000,0.023521,0.118812,0.000000,0.000000,0.203333,0.136667,0.060000,0.043333,0.010000,0.016667,20.700000,0.135000,0.135000,"not_applicable_no_signal_verification","reports/adversarial-failure-traces-a8.jsonl","A8 executable pilot only. Rows pair the same generated world, bill, status quo, formal process, and vote-random stream while an outside campaign changes only the observable public-support and salience signal plus traced campaign/attention spend. Generated support, public benefit, affected-group support, concentrated harm, and private gain remain latent evaluation values. The signal-reliant and constituent-verified paths use no objection window or citizen panel, separating this pilot from A3 formal public-input manipulation. Signal shifts and verification strengths are synthetic assumptions, not empirical campaign effects or district-opinion estimates, not a full A1-A9 sweep, and not evidence for real-world institutional ranking."
"A8","public_support_distortion","public-support-distortion","signal-reliant-majority-baseline","signal-reliant-majority-a8-distorted","signal_reliant_majority","public_campaign_units",1,"medium",5,101,60,300,298,0.993333,0.993333,0.050000,0.077239,0.077239,0.078000,0.078000,0.077239,0.078000,0.078000,0.037905,0.078000,-0.004821,0.079208,0.000000,0.000000,0.040000,0.013333,0.010000,0.003333,0.016667,0.026667,3.450000,0.022500,0.022500,"not_applicable_no_signal_verification","reports/adversarial-failure-traces-a8.jsonl","A8 executable pilot only. Rows pair the same generated world, bill, status quo, formal process, and vote-random stream while an outside campaign changes only the observable public-support and salience signal plus traced campaign/attention spend. Generated support, public benefit, affected-group support, concentrated harm, and private gain remain latent evaluation values. The signal-reliant and constituent-verified paths use no objection window or citizen panel, separating this pilot from A3 formal public-input manipulation. Signal shifts and verification strengths are synthetic assumptions, not empirical campaign effects or district-opinion estimates, not a full A1-A9 sweep, and not evidence for real-world institutional ranking."
"A8","public_support_distortion","public-support-distortion","signal-reliant-majority-baseline","signal-reliant-majority-a8-distorted","signal_reliant_majority","public_campaign_units",3,"medium",5,101,60,300,298,0.993333,0.993333,0.060000,0.112243,0.112243,0.114000,0.114000,0.112243,0.114000,0.114000,0.055184,0.114000,-0.004188,0.108911,0.000000,0.000000,0.056667,0.020000,0.023333,0.003333,0.026667,0.020000,10.350000,0.067500,0.067500,"not_applicable_no_signal_verification","reports/adversarial-failure-traces-a8.jsonl","A8 executable pilot only. Rows pair the same generated world, bill, status quo, formal process, and vote-random stream while an outside campaign changes only the observable public-support and salience signal plus traced campaign/attention spend. Generated support, public benefit, affected-group support, concentrated harm, and private gain remain latent evaluation values. The signal-reliant and constituent-verified paths use no objection window or citizen panel, separating this pilot from A3 formal public-input manipulation. Signal shifts and verification strengths are synthetic assumptions, not empirical campaign effects or district-opinion estimates, not a full A1-A9 sweep, and not evidence for real-world institutional ranking."
"A8","public_support_distortion","public-support-distortion","signal-reliant-majority-baseline","signal-reliant-majority-a8-distorted","signal_reliant_majority","public_campaign_units",6,"medium",5,101,60,300,298,0.993333,0.993333,0.080000,0.162002,0.162002,0.168000,0.168000,0.162002,0.168000,0.168000,0.078993,0.168000,-0.005189,0.138614,0.000000,0.000000,0.096667,0.026667,0.023333,0.003333,0.033333,0.036667,20.700000,0.135000,0.135000,"not_applicable_no_signal_verification","reports/adversarial-failure-traces-a8.jsonl","A8 executable pilot only. Rows pair the same generated world, bill, status quo, formal process, and vote-random stream while an outside campaign changes only the observable public-support and salience signal plus traced campaign/attention spend. Generated support, public benefit, affected-group support, concentrated harm, and private gain remain latent evaluation values. The signal-reliant and constituent-verified paths use no objection window or citizen panel, separating this pilot from A3 formal public-input manipulation. Signal shifts and verification strengths are synthetic assumptions, not empirical campaign effects or district-opinion estimates, not a full A1-A9 sweep, and not evidence for real-world institutional ranking."
"A8","public_support_distortion","public-support-distortion","signal-reliant-majority-baseline","signal-reliant-majority-a8-distorted","signal_reliant_majority","public_campaign_units",1,"high",5,101,60,300,296,0.986667,0.986667,0.076667,0.100690,0.100690,0.103000,0.103000,0.100690,0.103000,0.103000,0.048836,0.103000,-0.004580,0.091370,0.000000,0.000000,0.063333,0.016667,0.030000,0.003333,0.023333,0.030000,3.450000,0.022500,0.022500,"not_applicable_no_signal_verification","reports/adversarial-failure-traces-a8.jsonl","A8 executable pilot only. Rows pair the same generated world, bill, status quo, formal process, and vote-random stream while an outside campaign changes only the observable public-support and salience signal plus traced campaign/attention spend. Generated support, public benefit, affected-group support, concentrated harm, and private gain remain latent evaluation values. The signal-reliant and constituent-verified paths use no objection window or citizen panel, separating this pilot from A3 formal public-input manipulation. Signal shifts and verification strengths are synthetic assumptions, not empirical campaign effects or district-opinion estimates, not a full A1-A9 sweep, and not evidence for real-world institutional ranking."
"A8","public_support_distortion","public-support-distortion","signal-reliant-majority-baseline","signal-reliant-majority-a8-distorted","signal_reliant_majority","public_campaign_units",3,"high",5,101,60,300,296,0.986667,0.986667,0.090000,0.134359,0.134359,0.139000,0.139000,0.134359,0.139000,0.139000,0.064860,0.139000,-0.005627,0.118812,0.000000,0.000000,0.103333,0.023333,0.033333,0.010000,0.026667,0.036667,10.350000,0.067500,0.067500,"not_applicable_no_signal_verification","reports/adversarial-failure-traces-a8.jsonl","A8 executable pilot only. Rows pair the same generated world, bill, status quo, formal process, and vote-random stream while an outside campaign changes only the observable public-support and salience signal plus traced campaign/attention spend. Generated support, public benefit, affected-group support, concentrated harm, and private gain remain latent evaluation values. The signal-reliant and constituent-verified paths use no objection window or citizen panel, separating this pilot from A3 formal public-input manipulation. Signal shifts and verification strengths are synthetic assumptions, not empirical campaign effects or district-opinion estimates, not a full A1-A9 sweep, and not evidence for real-world institutional ranking."
"A8","public_support_distortion","public-support-distortion","signal-reliant-majority-baseline","signal-reliant-majority-a8-distorted","signal_reliant_majority","public_campaign_units",6,"high",5,101,60,300,296,0.986667,0.986667,0.090000,0.181066,0.181066,0.193000,0.193000,0.181066,0.193000,0.193000,0.086289,0.193000,-0.006072,0.128713,0.000000,0.000000,0.166667,0.026667,0.040000,0.003333,0.026667,0.030000,20.700000,0.135000,0.135000,"not_applicable_no_signal_verification","reports/adversarial-failure-traces-a8.jsonl","A8 executable pilot only. Rows pair the same generated world, bill, status quo, formal process, and vote-random stream while an outside campaign changes only the observable public-support and salience signal plus traced campaign/attention spend. Generated support, public benefit, affected-group support, concentrated harm, and private gain remain latent evaluation values. The signal-reliant and constituent-verified paths use no objection window or citizen panel, separating this pilot from A3 formal public-input manipulation. Signal shifts and verification strengths are synthetic assumptions, not empirical campaign effects or district-opinion estimates, not a full A1-A9 sweep, and not evidence for real-world institutional ranking."
"A8","public_support_distortion","public-support-distortion","constituent-verified-majority-baseline","constituent-verified-majority-a8-distorted","constituent_verified_majority","public_campaign_units",1,"low",5,101,60,300,1,0.003333,0.000000,0.003333,0.053000,0.015900,0.015900,0.015900,0.014359,0.015900,0.015900,-0.012587,0.015900,0.002481,0.029703,0.037100,0.700000,0.030000,0.040000,0.003333,0.000000,0.000000,0.000000,3.450000,0.020606,0.024726,"same_case_constituent_signal_correction_computed","reports/adversarial-failure-traces-a8.jsonl","A8 executable pilot only. Rows pair the same generated world, bill, status quo, formal process, and vote-random stream while an outside campaign changes only the observable public-support and salience signal plus traced campaign/attention spend. Generated support, public benefit, affected-group support, concentrated harm, and private gain remain latent evaluation values. The signal-reliant and constituent-verified paths use no objection window or citizen panel, separating this pilot from A3 formal public-input manipulation. Signal shifts and verification strengths are synthetic assumptions, not empirical campaign effects or district-opinion estimates, not a full A1-A9 sweep, and not evidence for real-world institutional ranking."
