caseKey,caseName,caseDescription,scenarioKey,scenario,totalBills,potentialBillsPerRun,enactedBills,enactedPerRun,floorPerRun,productivity,floor,avgSupport,welfare,cooperation,compromise,gridlock,accessDenied,committeeRejected,challengeRate,lowSupport,popularFail,policyShift,proposerGain,vetoes,overriddenVetoes
baseline,Baseline,Moderately polarized three-party legislature.,simple-majority,Unicameral simple majority,9000,60.000,2097,13.980,60.000,0.233,1.000,0.597,0.591,0.139,0.211,0.767,0.000,0.000,0.000,0.000,0.497,0.093,0.316,0,0
baseline,Baseline,Moderately polarized three-party legislature.,supermajority-60,Unicameral 60 percent passage,9000,60.000,671,4.473,60.000,0.075,1.000,0.670,0.667,0.050,0.329,0.925,0.000,0.000,0.000,0.000,0.775,0.016,0.160,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass,Default pass unless 2/3 block,9000,60.000,7527,50.180,60.000,0.836,1.000,0.529,0.463,0.442,0.087,0.164,0.000,0.000,0.000,0.465,0.032,0.696,0.701,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-challenge,Default pass + challenge vouchers,9000,60.000,5138,34.253,60.000,0.571,1.000,0.519,0.476,0.296,0.109,0.429,0.000,0.000,0.500,0.405,0.284,0.390,0.562,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-challenge-info,Default pass + challenge vouchers + info,9000,60.000,5125,34.167,60.000,0.569,1.000,0.518,0.477,0.295,0.110,0.431,0.000,0.000,0.500,0.405,0.272,0.387,0.559,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-cost,Default pass + proposal costs,9000,60.000,4352,29.013,30.580,0.484,0.510,0.509,0.446,0.246,0.027,0.516,0.490,0.000,0.000,0.504,0.465,0.615,1.148,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-informed-guarded,Default pass + informed guarded committee,9000,60.000,1664,11.093,11.187,0.185,0.186,0.587,0.614,0.108,0.212,0.815,0.586,0.228,0.000,0.219,0.560,0.062,0.254,0,0
baseline,Baseline,Moderately polarized three-party legislature.,bicameral-majority,Bicameral simple majority,9000,60.000,1315,8.767,60.000,0.146,1.000,0.626,0.626,0.091,0.253,0.854,0.000,0.000,0.000,0.000,0.630,0.045,0.229,0,0
baseline,Baseline,Moderately polarized three-party legislature.,presidential-veto,Bicameral majority + presidential veto,9000,60.000,849,5.660,60.000,0.094,1.000,0.637,0.641,0.060,0.271,0.906,0.000,0.000,0.000,0.000,0.750,0.028,0.224,464,2
low-polarization,Low Polarization,Legislators are less ideologically clustered.,simple-majority,Unicameral simple majority,9000,60.000,4521,30.140,60.000,0.502,1.000,0.635,0.622,0.319,0.269,0.498,0.000,0.000,0.000,0.000,0.184,0.163,0.225,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,supermajority-60,Unicameral 60 percent passage,9000,60.000,2520,16.800,60.000,0.280,1.000,0.686,0.670,0.192,0.339,0.720,0.000,0.000,0.000,0.000,0.423,0.068,0.164,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,default-pass,Default pass unless 2/3 block,9000,60.000,7516,50.107,60.000,0.835,1.000,0.575,0.557,0.480,0.187,0.165,0.000,0.000,0.000,0.329,0.027,0.404,0.343,0,0
